Program name	H2196AB_E4_A01_CP1.dll
Lot number	C141321.02-CPTSTE12-250213-195122@CP
Wafer number	18
Date	2025/02/13
Time	19:56:10

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2
LimitU				0.5V	0.5V	0.5V	100nA	100nA	900V	900V	50V	5uA	5V	38mohm	1V	60nA	60nA
LimitL				-0.5V	-0.5V	-0.5V	0nA	0nA	660V	660V	-10V	0uA	3.5V	10mohm	0V	0nA	0nA
Bias 1				 	 	 	 	 	250uA	1mA	 	 	3mA	1A	 	 	 
Bias 2				 	 	 	 	 	 	 	 	 	 	 	1A	 	 
Bias 3				2V	 	 	 	 	 	 	 	653V	 	 	 	 	 
Bias 4				 	2V	 	30V	-30V	 	 	 	 	 	10V	0V	20V	-20V
Bias 5				1000uS	8000uS	8000uS	12000uS	12000uS	10000uS	8000uS	1000uS	10000uS	2000uS	50000uS	5000uS	12000uS	12000uS
Bias 6				 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	29	6	5	1.31000E-002	1.10000E-002	7.20000E-003	1.05140E-009	2.79820E-009	5.95037E+002
8	27	6	1	1.36000E-002	1.13000E-002	7.40000E-003	5.55000E-010	2.80750E-009	7.07487E+002	7.13719E+002	6.23220E+000	1.33510E-006	4.03200E+000	3.34200E-002	6.32500E-001	4.99700E-010	5.60000E-012
12	25	6	1	1.35000E-002	1.13000E-002	7.50000E-003	6.74400E-010	2.31350E-009	7.16283E+002	7.25922E+002	9.63900E+000	1.23630E-006	4.01360E+000	3.33649E-002	6.32200E-001	3.10300E-010	8.57000E-011
16	23	6	1	1.36000E-002	1.13000E-002	7.40000E-003	3.95700E-010	3.02530E-009	7.21565E+002	7.29550E+002	7.98520E+000	1.20650E-006	4.02290E+000	3.34384E-002	6.32000E-001	6.40900E-010	1.41900E-010
20	21	6	1	1.35000E-002	1.12000E-002	7.40000E-003	5.71300E-010	2.13320E-009	7.25688E+002	7.32234E+002	6.54670E+000	1.14790E-006	4.03110E+000	3.32973E-002	6.32200E-001	2.91300E-010	2.31600E-010
24	19	6	1	1.35000E-002	1.13000E-002	7.40000E-003	3.37200E-010	3.18220E-009	7.20792E+002	7.30331E+002	9.53960E+000	1.19430E-006	4.01420E+000	3.34018E-002	6.32200E-001	5.43900E-010	1.28100E-010
28	17	6	1	1.36000E-002	1.13000E-002	7.40000E-003	1.28800E-010	2.88480E-009	7.15818E+002	7.21720E+002	5.90240E+000	1.20990E-006	4.02380E+000	3.33705E-002	6.32900E-001	4.59000E-011	1.04900E-010
32	15	6	5	1.36000E-002	1.12000E-002	7.40000E-003	6.32000E-011	3.26180E-009	6.30999E+002
40	11	8	1	1.36000E-002	1.14000E-002	7.40000E-003	9.99900E-010	2.85670E-009	7.03520E+002	7.09300E+002	5.77920E+000	1.25110E-006	4.05250E+000	3.36352E-002	6.33900E-001	6.47000E-010	2.74900E-010
44	13	8	1	1.35000E-002	1.15000E-002	7.40000E-003	5.31500E-010	2.34630E-009	7.31002E+002	7.36998E+002	5.99540E+000	1.06190E-006	4.05340E+000	3.33391E-002	6.32500E-001	2.90600E-010	1.91100E-010
48	15	8	1	1.35000E-002	1.14000E-002	7.40000E-003	4.80000E-010	2.37900E-009	7.33499E+002	7.40645E+002	7.14570E+000	9.88700E-007	4.06760E+000	3.34955E-002	6.32900E-001	4.42600E-010	3.07400E-010
52	17	8	1	1.36000E-002	1.14000E-002	7.40000E-003	3.93400E-010	3.20800E-009	7.24499E+002	7.33610E+002	9.11150E+000	1.12110E-006	4.11750E+000	3.42558E-002	6.33100E-001	6.62200E-010	1.06800E-010
56	19	8	1	1.35000E-002	1.12000E-002	7.40000E-003	6.08800E-010	2.55000E-009	7.11323E+002	7.25339E+002	1.40165E+001	1.32000E-006	4.09050E+000	3.44644E-002	6.32200E-001	7.63400E-010	1.09100E-010
60	21	8	1	1.35000E-002	1.13000E-002	7.40000E-003	1.24100E-010	2.25490E-009	7.07638E+002	7.22534E+002	1.48964E+001	1.30300E-006	4.09040E+000	3.44732E-002	6.32800E-001	6.71800E-010	1.71400E-010
64	23	8	1	1.35000E-002	1.12000E-002	7.40000E-003	1.59200E-010	2.23390E-009	7.00248E+002	7.16705E+002	1.64576E+001	2.73450E-006	4.12040E+000	3.45666E-002	6.32800E-001	3.64100E-010	1.01600E-010
