Program name	H2196AB_E4_A01_CP1.dll
Lot number	C141321.02-CPTSTE12-250213-192309@CP
Wafer number	17
Date	2025/02/13
Time	19:27:58

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2
LimitU				0.5V	0.5V	0.5V	100nA	100nA	900V	900V	50V	5uA	5V	38mohm	1V	60nA	60nA
LimitL				-0.5V	-0.5V	-0.5V	0nA	0nA	660V	660V	-10V	0uA	3.5V	10mohm	0V	0nA	0nA
Bias 1				 	 	 	 	 	250uA	1mA	 	 	3mA	1A	 	 	 
Bias 2				 	 	 	 	 	 	 	 	 	 	 	1A	 	 
Bias 3				2V	 	 	 	 	 	 	 	653V	 	 	 	 	 
Bias 4				 	2V	 	30V	-30V	 	 	 	 	 	10V	0V	20V	-20V
Bias 5				1000uS	8000uS	8000uS	12000uS	12000uS	10000uS	8000uS	1000uS	10000uS	2000uS	50000uS	5000uS	12000uS	12000uS
Bias 6				 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	29	6	5	1.31000E-002	1.11000E-002	7.20000E-003	7.96100E-010	2.53590E-009	6.22905E+002
8	27	6	1	1.35000E-002	1.12000E-002	7.40000E-003	1.04200E-009	2.77710E-009	7.26136E+002	7.33980E+002	7.84420E+000	9.91700E-007	4.17960E+000	3.34134E-002	6.33200E-001	4.00000E-011	5.10700E-010
12	25	6	1	1.36000E-002	1.12000E-002	7.40000E-003	6.81400E-010	2.28300E-009	7.29574E+002	7.38936E+002	9.36120E+000	9.82600E-007	4.17860E+000	3.35122E-002	6.32900E-001	7.08100E-010	2.66900E-010
16	23	6	1	1.35000E-002	1.12000E-002	7.50000E-003	4.66000E-010	2.49610E-009	7.36108E+002	7.43506E+002	7.39790E+000	9.58600E-007	4.19500E+000	3.35160E-002	6.32700E-001	3.12800E-010	6.43500E-010
20	21	6	1	1.35000E-002	1.12000E-002	7.40000E-003	4.77700E-010	2.34860E-009	7.38315E+002	7.44563E+002	6.24830E+000	9.37400E-007	4.21790E+000	3.34167E-002	6.32800E-001	4.07200E-010	1.79600E-010
24	19	6	1	1.35000E-002	1.12000E-002	7.40000E-003	3.81700E-010	2.53120E-009	7.32818E+002	7.42470E+002	9.65220E+000	9.65900E-007	4.21150E+000	3.34439E-002	6.32800E-001	6.42800E-010	1.26000E-010
28	17	6	1	1.35000E-002	1.12000E-002	7.50000E-003	8.87500E-010	2.09340E-009	7.27407E+002	7.35674E+002	8.26750E+000	9.76200E-007	4.23700E+000	3.34422E-002	6.33600E-001	1.30400E-010	1.93900E-010
32	15	6	5	1.35000E-002	1.13000E-002	7.40000E-003	6.69700E-010	3.12600E-009	6.47931E+002
40	11	8	1	1.34000E-002	1.14000E-002	7.40000E-003	9.46000E-010	2.53830E-009	7.20124E+002	7.26873E+002	6.74900E+000	9.72600E-007	4.25640E+000	3.37370E-002	6.34400E-001	2.54300E-010	2.86000E-011
44	13	8	1	1.35000E-002	1.12000E-002	7.40000E-003	9.24900E-010	2.00910E-009	7.41369E+002	7.47249E+002	5.88030E+000	8.83800E-007	4.22430E+000	3.34400E-002	6.33000E-001	7.80000E-011	3.36200E-010
48	15	8	1	1.35000E-002	1.12000E-002	7.40000E-003	4.16800E-010	2.27370E-009	7.44810E+002	7.48467E+002	3.65670E+000	8.24700E-007	4.23320E+000	3.35876E-002	6.33300E-001	6.23100E-010	1.52700E-010
52	17	8	1	1.35000E-002	1.12000E-002	7.40000E-003	7.70400E-010	2.01140E-009	7.39676E+002	7.48976E+002	9.30040E+000	8.75700E-007	4.22210E+000	3.42395E-002	6.33400E-001	1.15200E-010	2.59200E-010
56	19	8	1	1.36000E-002	1.11000E-002	7.40000E-003	7.89100E-010	2.84500E-009	7.25258E+002	7.39543E+002	1.42852E+001	1.03340E-006	4.16790E+000	3.44741E-002	6.32700E-001	9.91000E-010	1.82200E-010
60	21	8	1	1.35000E-002	1.11000E-002	7.40000E-003	4.80000E-010	2.43290E-009	7.28763E+002	7.39644E+002	1.08818E+001	9.74200E-007	4.13390E+000	3.43062E-002	6.33100E-001	4.14000E-010	5.73500E-010
64	23	8	1	1.35000E-002	1.12000E-002	7.40000E-003	1.01620E-009	2.23850E-009	7.24998E+002	7.37129E+002	1.21316E+001	1.01680E-006	4.12570E+000	3.43403E-002	6.33000E-001	8.92400E-010	2.74200E-010
