Program name	H2196AB_E4_A01_CP1.dll
Lot number	C141321.02-CPTSTE12-250213-205110@CP
Wafer number	23
Date	2025/02/13
Time	20:56:00

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2
LimitU				0.5V	0.5V	0.5V	100nA	100nA	900V	900V	50V	5uA	5V	38mohm	1V	60nA	60nA
LimitL				-0.5V	-0.5V	-0.5V	0nA	0nA	660V	660V	-10V	0uA	3.5V	10mohm	0V	0nA	0nA
Bias 1				 	 	 	 	 	250uA	1mA	 	 	3mA	1A	 	 	 
Bias 2				 	 	 	 	 	 	 	 	 	 	 	1A	 	 
Bias 3				2V	 	 	 	 	 	 	 	653V	 	 	 	 	 
Bias 4				 	2V	 	30V	-30V	 	 	 	 	 	10V	0V	20V	-20V
Bias 5				1000uS	8000uS	8000uS	12000uS	12000uS	10000uS	8000uS	1000uS	10000uS	2000uS	50000uS	5000uS	12000uS	12000uS
Bias 6				 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	29	6	5	1.31000E-002	1.09000E-002	7.20000E-003	1.36280E-009	2.15890E-009	6.03780E+002
8	27	6	1	1.36000E-002	1.12000E-002	7.50000E-003	2.97400E-010	2.44460E-009	7.05140E+002	7.10778E+002	5.63790E+000	1.31040E-006	4.17870E+000	3.36612E-002	6.33200E-001	2.80800E-010	4.13500E-010
12	25	6	1	1.35000E-002	1.12000E-002	7.40000E-003	6.88400E-010	1.58760E-009	7.13637E+002	7.22721E+002	9.08340E+000	1.22680E-006	4.16020E+000	3.35725E-002	6.32600E-001	1.03000E-010	1.63400E-010
16	23	6	1	1.35000E-002	1.12000E-002	7.40000E-003	2.90400E-010	2.80750E-009	7.19975E+002	7.27865E+002	7.88950E+000	1.15980E-006	4.18370E+000	3.36480E-002	6.32800E-001	2.82600E-010	2.16800E-010
20	21	6	1	1.35000E-002	1.12000E-002	7.40000E-003	8.43000E-011	1.82880E-009	7.23735E+002	7.30677E+002	6.94130E+000	1.10810E-006	4.20100E+000	3.35743E-002	6.32900E-001	1.37200E-010	3.77000E-010
24	19	6	1	1.35000E-002	1.12000E-002	7.40000E-003	3.02100E-010	2.58040E-009	7.16643E+002	7.25846E+002	9.20300E+000	1.17820E-006	4.21090E+000	3.36473E-002	6.32800E-001	9.79200E-010	5.93100E-010
28	17	6	1	1.36000E-002	1.12000E-002	7.50000E-003	4.21500E-010	2.20810E-009	7.11358E+002	7.17842E+002	6.48350E+000	1.19000E-006	4.21050E+000	3.36684E-002	6.33500E-001	3.82600E-010	9.39000E-011
32	15	6	5	1.35000E-002	1.12000E-002	7.50000E-003	3.11400E-010	2.76540E-009	6.50665E+002
40	11	8	1	1.36000E-002	1.14000E-002	7.40000E-003	3.37200E-010	2.69510E-009	7.19012E+002	7.24522E+002	5.50940E+000	1.00460E-006	4.23610E+000	3.35342E-002	6.34600E-001	4.53800E-010	2.39500E-010
44	13	8	1	1.35000E-002	1.12000E-002	7.40000E-003	3.30200E-010	2.51950E-009	7.38043E+002	7.43657E+002	5.61470E+000	9.21100E-007	4.24680E+000	3.33717E-002	6.33300E-001	9.00100E-010	1.94600E-010
48	15	8	1	1.35000E-002	1.12000E-002	7.40000E-003	7.56300E-010	2.21750E-009	7.39725E+002	7.45181E+002	5.45550E+000	8.77100E-007	4.24030E+000	3.35586E-002	6.33600E-001	4.37400E-010	1.42400E-010
52	17	8	1	1.35000E-002	1.13000E-002	7.40000E-003	8.26600E-010	1.68590E-009	7.29948E+002	7.38096E+002	8.14790E+000	1.03120E-006	4.23690E+000	3.41807E-002	6.33300E-001	5.64600E-010	3.92700E-010
56	19	8	1	1.36000E-002	1.12000E-002	7.50000E-003	6.83700E-010	2.13790E-009	7.19682E+002	7.32138E+002	1.24556E+001	1.17000E-006	4.18630E+000	3.43797E-002	6.32900E-001	3.34600E-010	4.58700E-010
60	21	8	1	1.35000E-002	1.12000E-002	7.40000E-003	3.51000E-011	1.65550E-009	7.17190E+002	7.28135E+002	1.09456E+001	1.15720E-006	4.16510E+000	3.43393E-002	6.33600E-001	2.92700E-010	9.07800E-010
64	23	8	1	1.35000E-002	1.12000E-002	7.40000E-003	8.94500E-010	1.69300E-009	7.13742E+002	7.25686E+002	1.19440E+001	1.20470E-006	4.16680E+000	3.43755E-002	6.33400E-001	1.87800E-010	4.50800E-010
