Program name	H2196AB_E4_A01_CP1.dll
Lot number	C141321.02-CPTSTE12-250213-210304@CP
Wafer number	25
Date	2025/02/13
Time	21:07:53

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2
LimitU				0.5V	0.5V	0.5V	100nA	100nA	900V	900V	50V	5uA	5V	38mohm	1V	60nA	60nA
LimitL				-0.5V	-0.5V	-0.5V	0nA	0nA	660V	660V	-10V	0uA	3.5V	10mohm	0V	0nA	0nA
Bias 1				 	 	 	 	 	250uA	1mA	 	 	3mA	1A	 	 	 
Bias 2				 	 	 	 	 	 	 	 	 	 	 	1A	 	 
Bias 3				2V	 	 	 	 	 	 	 	653V	 	 	 	 	 
Bias 4				 	2V	 	30V	-30V	 	 	 	 	 	10V	0V	20V	-20V
Bias 5				1000uS	8000uS	8000uS	12000uS	12000uS	10000uS	8000uS	1000uS	10000uS	2000uS	50000uS	5000uS	12000uS	12000uS
Bias 6				 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	29	6	5	1.31000E-002	1.10000E-002	7.20000E-003	1.03970E-009	2.32280E-009	6.09438E+002
8	27	6	1	1.35000E-002	1.11000E-002	7.40000E-003	1.08410E-009	1.96460E-009	7.14175E+002	7.19581E+002	5.40660E+000	1.10340E-006	4.18080E+000	3.34163E-002	6.35000E-001	1.11000E-010	9.88000E-011
12	25	6	1	1.36000E-002	1.12000E-002	7.40000E-003	5.19800E-010	2.20340E-009	7.18591E+002	7.27511E+002	8.91990E+000	1.09280E-006	4.16040E+000	3.33930E-002	6.34100E-001	4.99700E-010	3.89900E-010
16	23	6	1	1.35000E-002	1.11000E-002	7.40000E-003	1.16380E-009	1.88030E-009	7.27977E+002	7.34071E+002	6.09350E+000	1.00760E-006	4.19050E+000	3.33244E-002	6.34500E-001	5.47700E-010	2.23400E-010
20	21	6	1	1.35000E-002	1.11000E-002	7.40000E-003	7.23500E-010	1.92710E-009	7.31578E+002	7.36320E+002	4.74180E+000	9.70900E-007	4.20170E+000	3.32014E-002	6.34400E-001	4.70000E-010	4.16800E-010
24	19	6	1	1.35000E-002	1.12000E-002	7.40000E-003	3.34800E-010	2.00670E-009	7.26414E+002	7.35016E+002	8.60290E+000	9.98400E-007	4.19350E+000	3.31685E-002	6.34500E-001	8.68700E-010	7.93300E-010
28	17	6	1	1.36000E-002	1.12000E-002	7.40000E-003	1.17100E-010	3.08850E-009	7.18629E+002	7.24008E+002	5.37920E+000	1.03140E-006	4.21160E+000	3.32781E-002	6.35300E-001	1.08180E-009	3.16800E-010
32	15	6	5	1.35000E-002	1.12000E-002	7.40000E-003	5.57300E-010	2.86140E-009	6.47828E+002
40	11	8	1	1.35000E-002	1.13000E-002	7.40000E-003	2.81000E-010	2.09800E-009	7.09941E+002	7.15952E+002	6.01070E+000	1.09250E-006	4.22820E+000	3.36827E-002	6.35400E-001	2.14700E-010	5.53800E-010
44	13	8	1	1.36000E-002	1.12000E-002	7.40000E-003	3.25500E-010	2.35090E-009	7.36007E+002	7.41086E+002	5.07940E+000	8.94300E-007	4.19760E+000	3.32308E-002	6.34500E-001	9.09000E-011	2.51300E-010
48	15	8	1	1.36000E-002	1.12000E-002	7.40000E-003	3.86400E-010	2.59680E-009	7.35394E+002	7.40708E+002	5.31480E+000	8.54400E-007	4.18340E+000	3.32808E-002	6.35000E-001	2.36300E-010	3.14000E-011
52	17	8	1	1.35000E-002	1.13000E-002	7.40000E-003	6.72000E-010	2.44230E-009	7.25286E+002	7.32476E+002	7.18960E+000	1.02940E-006	4.16930E+000	3.39031E-002	6.34300E-001	4.52600E-010	2.70000E-010
56	19	8	1	1.35000E-002	1.12000E-002	7.40000E-003	9.85800E-010	1.88960E-009	7.08011E+002	7.20241E+002	1.22300E+001	1.25540E-006	4.13770E+000	3.42401E-002	6.34100E-001	8.41800E-010	1.50300E-010
60	21	8	1	1.36000E-002	1.11000E-002	7.50000E-003	4.98800E-010	1.35340E-009	7.02865E+002	7.15921E+002	1.30565E+001	1.26880E-006	4.11660E+000	3.41269E-002	6.34600E-001	3.15200E-010	4.20000E-012
64	23	8	8	1.35000E-002	1.12000E-002	7.40000E-003	1.00920E-009	1.47280E-009	6.98740E+002	7.12654E+002	1.39142E+001	5.30870E-006
