Program name	H2196AB_E4_A01_CP1.dll
Lot number	C141321.02-CPTSTE12-250213-201510@CP
Wafer number	21
Date	2025/02/13
Time	20:19:59

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2
LimitU				0.5V	0.5V	0.5V	100nA	100nA	900V	900V	50V	5uA	5V	38mohm	1V	60nA	60nA
LimitL				-0.5V	-0.5V	-0.5V	0nA	0nA	660V	660V	-10V	0uA	3.5V	10mohm	0V	0nA	0nA
Bias 1				 	 	 	 	 	250uA	1mA	 	 	3mA	1A	 	 	 
Bias 2				 	 	 	 	 	 	 	 	 	 	 	1A	 	 
Bias 3				2V	 	 	 	 	 	 	 	653V	 	 	 	 	 
Bias 4				 	2V	 	30V	-30V	 	 	 	 	 	10V	0V	20V	-20V
Bias 5				1000uS	8000uS	8000uS	12000uS	12000uS	10000uS	8000uS	1000uS	10000uS	2000uS	50000uS	5000uS	12000uS	12000uS
Bias 6				 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	29	6	5	1.31000E-002	1.09000E-002	7.20000E-003	3.51200E-010	2.28770E-009	6.19435E+002
8	27	6	1	1.36000E-002	1.11000E-002	7.40000E-003	3.18500E-010	2.33450E-009	7.21035E+002	7.27380E+002	6.34560E+000	1.08980E-006	4.17340E+000	3.35689E-002	6.32800E-001	2.92000E-010	1.04200E-010
12	25	6	1	1.36000E-002	1.11000E-002	7.40000E-003	9.50700E-010	2.51250E-009	7.29438E+002	7.39088E+002	9.65030E+000	1.02760E-006	4.15700E+000	3.34829E-002	6.32300E-001	4.30100E-010	2.72600E-010
16	23	6	1	1.35000E-002	1.12000E-002	7.40000E-003	5.05800E-010	2.79120E-009	7.33446E+002	7.40860E+002	7.41420E+000	1.02430E-006	4.15590E+000	3.36025E-002	6.32200E-001	2.96400E-010	3.02500E-010
20	21	6	1	1.35000E-002	1.12000E-002	7.40000E-003	6.25200E-010	2.09570E-009	7.36068E+002	7.42719E+002	6.65030E+000	9.88900E-007	4.17020E+000	3.35709E-002	6.32400E-001	4.36900E-010	4.44700E-010
24	19	6	1	1.36000E-002	1.12000E-002	7.40000E-003	7.44600E-010	2.41650E-009	7.30291E+002	7.40108E+002	9.81670E+000	1.03040E-006	4.17530E+000	3.35800E-002	6.32300E-001	7.52000E-011	5.99000E-011
28	17	6	1	1.35000E-002	1.11000E-002	7.50000E-003	8.99200E-010	2.06290E-009	7.25331E+002	7.32490E+002	7.15930E+000	1.03680E-006	4.20750E+000	3.35416E-002	6.33200E-001	5.87000E-010	1.18200E-010
32	15	6	8	1.36000E-002	1.12000E-002	7.40000E-003	9.74100E-010	2.73030E-009	6.73890E+002	6.89467E+002	1.55772E+001	1.38282E-005
40	11	8	1	1.36000E-002	1.14000E-002	7.40000E-003	4.54300E-010	2.68110E-009	7.25814E+002	7.32355E+002	6.54160E+000	9.92000E-007	4.21120E+000	3.35948E-002	6.33500E-001	8.78100E-010	3.02100E-010
44	13	8	1	1.36000E-002	1.13000E-002	7.40000E-003	3.48900E-010	2.27130E-009	7.44186E+002	7.48021E+002	3.83500E+000	8.94900E-007	4.17260E+000	3.33671E-002	6.32700E-001	5.63600E-010	4.60800E-010
48	15	8	1	1.36000E-002	1.13000E-002	7.40000E-003	2.43500E-010	2.26430E-009	7.44149E+002	7.48202E+002	4.05350E+000	8.59400E-007	4.14430E+000	3.34717E-002	6.32900E-001	2.52900E-010	1.37500E-010
52	17	8	1	1.35000E-002	1.12000E-002	7.40000E-003	1.33500E-010	1.86150E-009	7.35567E+002	7.43765E+002	8.19780E+000	9.81800E-007	4.12550E+000	3.42759E-002	6.32300E-001	7.33000E-011	3.63400E-010
56	19	8	1	1.35000E-002	1.13000E-002	7.40000E-003	9.13200E-010	1.77730E-009	7.23755E+002	7.35928E+002	1.21735E+001	1.12630E-006	4.07920E+000	3.45042E-002	6.32000E-001	7.09000E-011	1.40000E-011
60	21	8	1	1.35000E-002	1.12000E-002	7.40000E-003	4.68000E-011	1.51270E-009	7.23540E+002	7.33600E+002	1.00599E+001	1.10070E-006	4.05630E+000	3.44971E-002	6.32500E-001	2.87300E-010	1.78700E-010
64	23	8	1	1.35000E-002	1.13000E-002	7.40000E-003	5.85400E-010	1.80540E-009	7.19366E+002	7.30866E+002	1.15004E+001	1.14620E-006	4.06490E+000	3.44597E-002	6.32300E-001	5.27000E-011	2.98100E-010
