Program name	H2196AB_E4_A01_CP1.dll
Lot number	C141321.02-CPTSTE12-250213-205708@CP
Wafer number	24
Date	2025/02/13
Time	21:01:58

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2
LimitU				0.5V	0.5V	0.5V	100nA	100nA	900V	900V	50V	5uA	5V	38mohm	1V	60nA	60nA
LimitL				-0.5V	-0.5V	-0.5V	0nA	0nA	660V	660V	-10V	0uA	3.5V	10mohm	0V	0nA	0nA
Bias 1				 	 	 	 	 	250uA	1mA	 	 	3mA	1A	 	 	 
Bias 2				 	 	 	 	 	 	 	 	 	 	 	1A	 	 
Bias 3				2V	 	 	 	 	 	 	 	653V	 	 	 	 	 
Bias 4				 	2V	 	30V	-30V	 	 	 	 	 	10V	0V	20V	-20V
Bias 5				1000uS	8000uS	8000uS	12000uS	12000uS	10000uS	8000uS	1000uS	10000uS	2000uS	50000uS	5000uS	12000uS	12000uS
Bias 6				 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	29	6	5	1.32000E-002	1.10000E-002	7.20000E-003	6.67300E-010	3.09320E-009	6.19188E+002
8	27	6	1	1.36000E-002	1.12000E-002	7.30000E-003	2.90400E-010	2.64130E-009	7.25089E+002	7.32317E+002	7.22850E+000	9.54300E-007	4.15670E+000	3.32968E-002	6.34100E-001	6.43500E-010	4.50000E-011
12	25	6	1	1.35000E-002	1.13000E-002	7.40000E-003	9.13000E-011	2.76770E-009	7.32499E+002	7.41134E+002	8.63530E+000	9.20300E-007	4.12470E+000	3.32387E-002	6.33500E-001	8.77900E-010	1.04700E-010
16	23	6	1	1.35000E-002	1.13000E-002	7.40000E-003	2.74000E-010	2.36730E-009	7.37322E+002	7.43614E+002	6.29120E+000	9.06900E-007	4.13010E+000	3.33593E-002	6.33500E-001	1.10000E-011	1.11700E-010
20	21	6	1	1.35000E-002	1.13000E-002	7.40000E-003	1.70900E-010	2.55230E-009	7.39950E+002	7.42080E+002	2.12970E+000	8.81300E-007	4.12060E+000	3.32200E-002	6.33600E-001	5.32900E-010	7.30000E-012
24	19	6	1	1.35000E-002	1.13000E-002	7.40000E-003	5.76000E-010	2.58280E-009	7.38858E+002	7.44585E+002	5.72670E+000	8.82000E-007	4.09810E+000	3.31337E-002	6.33500E-001	2.53600E-010	6.58200E-010
28	17	6	1	1.35000E-002	1.13000E-002	7.40000E-003	6.69700E-010	2.53590E-009	7.35794E+002	7.41582E+002	5.78860E+000	8.67500E-007	4.12440E+000	3.31337E-002	6.34400E-001	5.49100E-010	2.15000E-011
32	15	6	8	1.35000E-002	1.12000E-002	7.40000E-003	4.09800E-010	2.29470E-009	6.79241E+002	6.98213E+002	1.89717E+001	1.38278E-005
40	11	8	1	1.35000E-002	1.13000E-002	7.40000E-003	9.01500E-010	2.95040E-009	7.24528E+002	7.30232E+002	5.70380E+000	9.12500E-007	4.11480E+000	3.36499E-002	6.34400E-001	4.06300E-010	5.49600E-010
44	13	8	1	1.35000E-002	1.14000E-002	7.40000E-003	5.10500E-010	2.32280E-009	7.41615E+002	7.45505E+002	3.89020E+000	8.47500E-007	4.07430E+000	3.32868E-002	6.33300E-001	4.35800E-010	1.23900E-010
48	15	8	1	1.35000E-002	1.13000E-002	7.40000E-003	1.06780E-009	2.47500E-009	7.42749E+002	7.46156E+002	3.40690E+000	7.80000E-007	4.07570E+000	3.32893E-002	6.33800E-001	4.82100E-010	6.28200E-010
52	17	8	1	1.35000E-002	1.13000E-002	7.40000E-003	1.17780E-009	2.05120E-009	7.39384E+002	7.47507E+002	8.12330E+000	8.55100E-007	4.08430E+000	3.39786E-002	6.33200E-001	6.25200E-010	3.16300E-010
56	19	8	1	1.35000E-002	1.12000E-002	7.40000E-003	1.37920E-009	1.90600E-009	7.28478E+002	7.40796E+002	1.23183E+001	9.58800E-007	4.05800E+000	3.42509E-002	6.33100E-001	5.37600E-010	1.41200E-010
60	21	8	1	1.35000E-002	1.13000E-002	7.40000E-003	7.91500E-010	2.38370E-009	7.29664E+002	7.39809E+002	1.01455E+001	9.17400E-007	4.05730E+000	3.42442E-002	6.33700E-001	5.92700E-010	3.67900E-010
64	23	8	1	1.35000E-002	1.12000E-002	7.40000E-003	7.98500E-010	2.01140E-009	7.23074E+002	7.34875E+002	1.18013E+001	9.87000E-007	4.07940E+000	3.43021E-002	6.33700E-001	4.42600E-010	2.55000E-011
