Program name	H2196AB_E4_A01_CP1.dll
Lot number	C141321.02-CPTSTE12-250213-200837@CP
Wafer number	20
Date	2025/02/13
Time	20:14:00

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2
LimitU				0.5V	0.5V	0.5V	100nA	100nA	900V	900V	50V	5uA	5V	38mohm	1V	60nA	60nA
LimitL				-0.5V	-0.5V	-0.5V	0nA	0nA	660V	660V	-10V	0uA	3.5V	10mohm	0V	0nA	0nA
Bias 1				 	 	 	 	 	250uA	1mA	 	 	3mA	1A	 	 	 
Bias 2				 	 	 	 	 	 	 	 	 	 	 	1A	 	 
Bias 3				2V	 	 	 	 	 	 	 	653V	 	 	 	 	 
Bias 4				 	2V	 	30V	-30V	 	 	 	 	 	10V	0V	20V	-20V
Bias 5				1000uS	8000uS	8000uS	12000uS	12000uS	10000uS	8000uS	1000uS	10000uS	2000uS	50000uS	5000uS	12000uS	12000uS
Bias 6				 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	29	6	5	1.31000E-002	1.10000E-002	7.20000E-003	4.09800E-010	2.84500E-009	6.18642E+002
8	27	6	1	1.36000E-002	1.12000E-002	7.40000E-003	3.30200E-010	3.12370E-009	7.17107E+002	7.22310E+002	5.20260E+000	1.18940E-006	4.13460E+000	3.35613E-002	6.33200E-001	7.11100E-010	1.41900E-010
12	25	6	1	1.36000E-002	1.13000E-002	7.40000E-003	7.37600E-010	2.93160E-009	7.21773E+002	7.30529E+002	8.75610E+000	1.16210E-006	4.11140E+000	3.36243E-002	6.32600E-001	1.43000E-011	1.69300E-010
16	23	6	1	1.35000E-002	1.12000E-002	7.40000E-003	4.73000E-010	2.98550E-009	7.26519E+002	7.32801E+002	6.28120E+000	1.14550E-006	4.11850E+000	3.36827E-002	6.32400E-001	7.17900E-010	7.66000E-011
20	21	6	1	1.36000E-002	1.12000E-002	7.40000E-003	7.35300E-010	3.17050E-009	7.29617E+002	7.35141E+002	5.52400E+000	1.10090E-006	4.12890E+000	3.35803E-002	6.32600E-001	5.15600E-010	3.91000E-010
24	19	6	1	1.35000E-002	1.13000E-002	7.50000E-003	1.22930E-009	3.02060E-009	7.25594E+002	7.33699E+002	8.10500E+000	1.12940E-006	4.15250E+000	3.35742E-002	6.32800E-001	7.25200E-010	3.39100E-010
28	17	6	1	1.35000E-002	1.12000E-002	7.40000E-003	6.11200E-010	3.17990E-009	7.17659E+002	7.23401E+002	5.74270E+000	1.17780E-006	4.19550E+000	3.36403E-002	6.33500E-001	8.25900E-010	1.76600E-010
32	15	6	5	1.36000E-002	1.12000E-002	7.50000E-003	6.08800E-010	3.31330E-009	6.38015E+002
40	11	8	1	1.36000E-002	1.13000E-002	7.40000E-003	8.78100E-010	3.56150E-009	7.19398E+002	7.24475E+002	5.07690E+000	1.10570E-006	3.92520E+000	3.37984E-002	6.33100E-001	9.65000E-011	1.51000E-010
44	13	8	1	1.35000E-002	1.12000E-002	7.40000E-003	6.76700E-010	3.46550E-009	7.37649E+002	7.41525E+002	3.87600E+000	9.84900E-007	4.23450E+000	3.34846E-002	6.33000E-001	6.46300E-010	8.87000E-011
48	15	8	1	1.35000E-002	1.12000E-002	7.40000E-003	4.09800E-010	2.72090E-009	7.36366E+002	7.42141E+002	5.77500E+000	9.55000E-007	4.17050E+000	3.36521E-002	6.33000E-001	1.76300E-010	1.31400E-010
52	17	8	1	1.35000E-002	1.12000E-002	7.40000E-003	7.30600E-010	2.97850E-009	7.22559E+002	7.29936E+002	7.37630E+000	1.17910E-006	4.12330E+000	3.44266E-002	6.32500E-001	5.46800E-010	9.18000E-011
56	19	8	8	1.36000E-002	1.12000E-002	7.40000E-003	7.18900E-010	2.63430E-009	6.89864E+002	7.09840E+002	1.99760E+001	1.38252E-005
60	21	8	8	1.35000E-002	1.12000E-002	7.40000E-003	4.75300E-010	2.26660E-009	6.89055E+002	7.03559E+002	1.45041E+001	1.38252E-005
64	23	8	8	1.36000E-002	1.12000E-002	7.40000E-003	1.20120E-009	2.47270E-009	6.75015E+002	6.93687E+002	1.86724E+001	1.38255E-005
68	25	8	8	1.35000E-002	1.11000E-002	7.40000E-003	8.40600E-010	2.60150E-009	6.80107E+002	7.03237E+002	2.31302E+001	1.38255E-005
