Program name	H2196AB_E4_A01_CP1.dll
Lot number	C141321.02-CPTSTE12-250213-191126@CP
Wafer number	15
Date	2025/02/13
Time	19:16:16

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2
LimitU				0.5V	0.5V	0.5V	100nA	100nA	900V	900V	50V	5uA	5V	38mohm	1V	60nA	60nA
LimitL				-0.5V	-0.5V	-0.5V	0nA	0nA	660V	660V	-10V	0uA	3.5V	10mohm	0V	0nA	0nA
Bias 1				 	 	 	 	 	250uA	1mA	 	 	3mA	1A	 	 	 
Bias 2				 	 	 	 	 	 	 	 	 	 	 	1A	 	 
Bias 3				2V	 	 	 	 	 	 	 	653V	 	 	 	 	 
Bias 4				 	2V	 	30V	-30V	 	 	 	 	 	10V	0V	20V	-20V
Bias 5				1000uS	8000uS	8000uS	12000uS	12000uS	10000uS	8000uS	1000uS	10000uS	2000uS	50000uS	5000uS	12000uS	12000uS
Bias 6				 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	29	6	5	1.31000E-002	1.10000E-002	7.20000E-003	5.17500E-010	2.75600E-009	5.93083E+002
8	27	6	1	1.34000E-002	1.12000E-002	7.40000E-003	7.73000E-011	2.62960E-009	6.96796E+002	7.03215E+002	6.41910E+000	1.44590E-006	4.20540E+000	3.36915E-002	6.34100E-001	8.04100E-010	1.55500E-010
12	25	6	1	1.35000E-002	1.12000E-002	7.40000E-003	8.73400E-010	2.84740E-009	7.06669E+002	7.16628E+002	9.95870E+000	1.30980E-006	4.18340E+000	3.36517E-002	6.33500E-001	2.50100E-010	5.20800E-010
16	23	6	1	1.35000E-002	1.12000E-002	7.50000E-003	1.17100E-010	3.16580E-009	7.10790E+002	7.19771E+002	8.98070E+000	1.27800E-006	4.18790E+000	3.37803E-002	6.33500E-001	2.62000E-011	5.13700E-010
20	21	6	1	1.35000E-002	1.12000E-002	7.40000E-003	4.84700E-010	2.92230E-009	7.14497E+002	7.22575E+002	8.07780E+000	1.21770E-006	4.20210E+000	3.36718E-002	6.33600E-001	2.09300E-010	1.99500E-010
24	19	6	1	1.35000E-002	1.13000E-002	7.50000E-003	7.96000E-011	3.32970E-009	7.13172E+002	7.22936E+002	9.76430E+000	1.21170E-006	4.17260E+000	3.35759E-002	6.33600E-001	2.45200E-010	5.47500E-010
28	17	6	1	1.35000E-002	1.13000E-002	7.50000E-003	3.84000E-010	2.71860E-009	7.02721E+002	7.09710E+002	6.98930E+000	1.31200E-006	4.18840E+000	3.36789E-002	6.34300E-001	4.45600E-010	7.05000E-011
32	15	6	5	1.35000E-002	1.12000E-002	7.40000E-003	4.45000E-011	3.23140E-009	6.39307E+002
40	11	8	1	1.35000E-002	1.13000E-002	7.40000E-003	6.62700E-010	3.46320E-009	7.10940E+002	7.16901E+002	5.96170E+000	1.16750E-006	4.21370E+000	3.36789E-002	6.34200E-001	8.68700E-010	4.76500E-010
44	13	8	1	1.35000E-002	1.13000E-002	7.40000E-003	1.19400E-010	3.23140E-009	7.30516E+002	7.36630E+002	6.11410E+000	9.83200E-007	4.19330E+000	3.33965E-002	6.34100E-001	3.05300E-010	4.76500E-010
48	15	8	1	1.35000E-002	1.14000E-002	7.40000E-003	1.68600E-010	2.75840E-009	7.33082E+002	7.39865E+002	6.78260E+000	9.47700E-007	4.17940E+000	3.35656E-002	6.34000E-001	4.23100E-010	2.30400E-010
52	17	8	1	1.35000E-002	1.13000E-002	7.40000E-003	7.84400E-010	2.50310E-009	7.23111E+002	7.31906E+002	8.79430E+000	1.08200E-006	4.18290E+000	3.41859E-002	6.34100E-001	4.49300E-010	1.32800E-010
56	19	8	1	1.36000E-002	1.13000E-002	7.40000E-003	8.99200E-010	2.86370E-009	7.11705E+002	7.25631E+002	1.39265E+001	1.25460E-006	4.15120E+000	3.44403E-002	6.33800E-001	6.98700E-010	7.19000E-011
60	21	8	1	1.34000E-002	1.13000E-002	7.40000E-003	5.62000E-010	2.93630E-009	7.15253E+002	7.26077E+002	1.08236E+001	1.17620E-006	4.15200E+000	3.42835E-002	6.34100E-001	5.79800E-010	1.05000E-011
64	23	8	1	1.35000E-002	1.12000E-002	7.40000E-003	7.23500E-010	3.17280E-009	7.11452E+002	7.23382E+002	1.19301E+001	1.23490E-006	4.17470E+000	3.43495E-002	6.34100E-001	5.01300E-010	8.15000E-011
