Program name	H2196AB_E4_A01_CP1.dll
Lot number	C141321.02-CPTSTE12-250213-185303@CP
Wafer number	14
Date	2025/02/13
Time	18:57:51

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2
LimitU				0.5V	0.5V	0.5V	100nA	100nA	900V	900V	50V	5uA	5V	38mohm	1V	60nA	60nA
LimitL				-0.5V	-0.5V	-0.5V	0nA	0nA	660V	660V	-10V	0uA	3.5V	10mohm	0V	0nA	0nA
Bias 1				 	 	 	 	 	250uA	1mA	 	 	3mA	1A	 	 	 
Bias 2				 	 	 	 	 	 	 	 	 	 	 	1A	 	 
Bias 3				2V	 	 	 	 	 	 	 	653V	 	 	 	 	 
Bias 4				 	2V	 	30V	-30V	 	 	 	 	 	10V	0V	20V	-20V
Bias 5				1000uS	8000uS	8000uS	12000uS	12000uS	10000uS	8000uS	1000uS	10000uS	2000uS	50000uS	5000uS	12000uS	12000uS
Bias 6				 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	29	6	5	1.31000E-002	1.11000E-002	7.20000E-003	7.14200E-010	2.30640E-009	5.82152E+002
8	27	6	1	1.34000E-002	1.14000E-002	7.40000E-003	2.90400E-010	3.10730E-009	6.96275E+002	7.01734E+002	5.45900E+000	1.45530E-006	4.05960E+000	3.35782E-002	6.34200E-001	4.91700E-010	8.04300E-010
12	25	6	1	1.35000E-002	1.14000E-002	7.50000E-003	6.69700E-010	3.58490E-009	7.02982E+002	7.11925E+002	8.94400E+000	1.40450E-006	4.03810E+000	3.36190E-002	6.33100E-001	3.18500E-010	1.92000E-010
16	23	6	1	1.35000E-002	1.13000E-002	7.40000E-003	4.75300E-010	3.24070E-009	7.10418E+002	7.18728E+002	8.31020E+000	1.28360E-006	4.04780E+000	3.36902E-002	6.33400E-001	3.46600E-010	8.34000E-011
20	21	6	1	1.35000E-002	1.15000E-002	7.50000E-003	6.90800E-010	3.62010E-009	7.15582E+002	7.22324E+002	6.74200E+000	1.18520E-006	4.05300E+000	3.35306E-002	6.33500E-001	8.08000E-011	1.40500E-010
24	19	6	1	1.36000E-002	1.14000E-002	7.50000E-003	9.88100E-010	3.14940E-009	7.12449E+002	7.21261E+002	8.81220E+000	1.22750E-006	4.05360E+000	3.35416E-002	6.33500E-001	8.71300E-010	1.53100E-010
28	17	6	1	1.35000E-002	1.14000E-002	7.50000E-003	5.40900E-010	3.49130E-009	7.05615E+002	7.11366E+002	5.75050E+000	1.27920E-006	4.07080E+000	3.34939E-002	6.34400E-001	5.25000E-010	4.52600E-010
32	15	6	5	1.35000E-002	1.18000E-002	7.50000E-003	3.88700E-010	3.46320E-009	6.31017E+002
40	11	8	1	1.35000E-002	1.16000E-002	7.40000E-003	8.45300E-010	3.51700E-009	7.14309E+002	7.19314E+002	5.00500E+000	1.10640E-006	4.07940E+000	3.34460E-002	6.34500E-001	4.36200E-010	1.84700E-010
44	13	8	1	1.35000E-002	1.15000E-002	7.40000E-003	1.15210E-009	3.42570E-009	7.32443E+002	7.36457E+002	4.01380E+000	9.59500E-007	4.06590E+000	3.31758E-002	6.34200E-001	5.03900E-010	1.14000E-010
48	15	8	1	1.36000E-002	1.16000E-002	7.50000E-003	5.66700E-010	2.73500E-009	7.33665E+002	7.39598E+002	5.93250E+000	9.18100E-007	4.07580E+000	3.33616E-002	6.34100E-001	3.64100E-010	3.00000E-012
52	17	8	1	1.35000E-002	1.14000E-002	7.50000E-003	2.81000E-010	3.25240E-009	7.24786E+002	7.33870E+002	9.08340E+000	1.05400E-006	4.09890E+000	3.41001E-002	6.33900E-001	4.91300E-010	6.30000E-012
56	19	8	1	1.35000E-002	1.15000E-002	7.50000E-003	4.07400E-010	2.99490E-009	7.12147E+002	7.25168E+002	1.30204E+001	1.22870E-006	4.08530E+000	3.44787E-002	6.33700E-001	3.97100E-010	1.28800E-010
60	21	8	1	1.36000E-002	1.13000E-002	7.50000E-003	4.82400E-010	3.32500E-009	7.05969E+002	7.20210E+002	1.42408E+001	1.25390E-006	4.08870E+000	3.44303E-002	6.34000E-001	7.61000E-011	1.41400E-010
64	23	8	1	1.35000E-002	1.13000E-002	7.40000E-003	8.66400E-010	2.99720E-009	6.99457E+002	7.15933E+002	1.64763E+001	1.36740E-006	4.11030E+000	3.44510E-002	6.34300E-001	3.59900E-010	3.70000E-011
