Program name	H2196AB_E4_A01_CP1.dll
Lot number	C141321.02-CPTSTE12-250213-204033@CP
Wafer number	22
Date	2025/02/13
Time	20:45:22

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2
LimitU				0.5V	0.5V	0.5V	100nA	100nA	900V	900V	50V	5uA	5V	38mohm	1V	60nA	60nA
LimitL				-0.5V	-0.5V	-0.5V	0nA	0nA	660V	660V	-10V	0uA	3.5V	10mohm	0V	0nA	0nA
Bias 1				 	 	 	 	 	250uA	1mA	 	 	3mA	1A	 	 	 
Bias 2				 	 	 	 	 	 	 	 	 	 	 	1A	 	 
Bias 3				2V	 	 	 	 	 	 	 	653V	 	 	 	 	 
Bias 4				 	2V	 	30V	-30V	 	 	 	 	 	10V	0V	20V	-20V
Bias 5				1000uS	8000uS	8000uS	12000uS	12000uS	10000uS	8000uS	1000uS	10000uS	2000uS	50000uS	5000uS	12000uS	12000uS
Bias 6				 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	29	6	5	1.31000E-002	1.10000E-002	7.20000E-003	1.87000E-011	9.66226E-008	5.83473E+002
8	27	6	1	1.35000E-002	1.13000E-002	7.50000E-003	7.39900E-010	2.01380E-009	7.01918E+002	7.07674E+002	5.75650E+000	1.41440E-006	4.04540E+000	3.35578E-002	6.32600E-001	1.19000E-010	2.58000E-011
12	25	6	1	1.35000E-002	1.11000E-002	7.40000E-003	1.03970E-009	2.59910E-009	7.10754E+002	7.20219E+002	9.46540E+000	1.29250E-006	4.00830E+000	3.35264E-002	6.32000E-001	4.71000E-011	3.67400E-010
16	23	6	1	1.34000E-002	1.12000E-002	7.40000E-003	7.37600E-010	2.46100E-009	7.18743E+002	7.27014E+002	8.27140E+000	1.20520E-006	4.03410E+000	3.35798E-002	6.32100E-001	4.92000E-011	2.57600E-010
20	21	6	1	1.36000E-002	1.13000E-002	7.40000E-003	3.32500E-010	2.72560E-009	7.22182E+002	7.29524E+002	7.34130E+000	1.15830E-006	4.04520E+000	3.35268E-002	6.32100E-001	1.37000E-010	1.38400E-010
24	19	6	1	1.35000E-002	1.12000E-002	7.40000E-003	9.40000E-012	2.69510E-009	7.17229E+002	7.26286E+002	9.05670E+000	1.21480E-006	4.04710E+000	3.35179E-002	6.32200E-001	5.45100E-010	2.74000E-010
28	17	6	1	1.35000E-002	1.12000E-002	7.50000E-003	6.46300E-010	3.10020E-009	7.08248E+002	7.14610E+002	6.36220E+000	1.30260E-006	4.05380E+000	3.35193E-002	6.32900E-001	3.04400E-010	4.82600E-010
32	15	6	5	1.36000E-002	1.12000E-002	7.40000E-003	1.73300E-010	2.74200E-009	6.19720E+002
40	11	8	1	1.36000E-002	1.13000E-002	7.40000E-003	3.25500E-010	2.98320E-009	7.11627E+002	7.16877E+002	5.24960E+000	1.13600E-006	4.04400E+000	3.35528E-002	6.33800E-001	4.89600E-010	8.55000E-011
44	13	8	1	1.35000E-002	1.13000E-002	7.40000E-003	5.22200E-010	2.80750E-009	7.33527E+002	7.39110E+002	5.58290E+000	1.00940E-006	4.01390E+000	3.33056E-002	6.32200E-001	1.58300E-010	1.41400E-010
48	15	8	1	1.35000E-002	1.11000E-002	7.40000E-003	7.11800E-010	1.91310E-009	7.36513E+002	7.42892E+002	6.37930E+000	9.32300E-007	4.03790E+000	3.34184E-002	6.32800E-001	2.66000E-010	1.03300E-010
52	17	8	1	1.36000E-002	1.12000E-002	7.40000E-003	4.07400E-010	2.22920E-009	7.25878E+002	7.35146E+002	9.26830E+000	1.10040E-006	4.07830E+000	3.40872E-002	6.32500E-001	3.69000E-010	2.24600E-010
56	19	8	1	1.36000E-002	1.12000E-002	7.40000E-003	1.87300E-010	2.33690E-009	7.10407E+002	7.24758E+002	1.43506E+001	1.32100E-006	4.05890E+000	3.44266E-002	6.32200E-001	8.51900E-010	2.58300E-010
60	21	8	1	1.34000E-002	1.12000E-002	7.40000E-003	9.97500E-010	2.68580E-009	7.09808E+002	7.23994E+002	1.41861E+001	1.26910E-006	4.06070E+000	3.44303E-002	6.32700E-001	1.02100E-010	2.13100E-010
64	23	8	1	1.36000E-002	1.13000E-002	7.40000E-003	7.68000E-010	1.93180E-009	7.02674E+002	7.18374E+002	1.57007E+001	1.38440E-006	4.08170E+000	3.45005E-002	6.32700E-001	1.90100E-010	2.12100E-010
