Program name	ME58Y81_G0GC2AD.jtf
Lot number	FA53-5465-305A-250303@203
Wafer number	8
Date	2025/03/03
Time	01:08:23

No.U	X	Y	Bin	CONT	IGSS0	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS2
LimitU				0.500V	99.00uA	4.000uA	4.000uA	900.0V	900.0V	50.00-	250.0nA	4.000V	365.0mOHM	1.000V	300.0nA	300.0nA	200.0nA	
LimitL				0V	0A	0A	0A	660.0V	660.0V	10.00-	0A	3.000V	100.0mOHM	0.000V	0A	0A	0A	
Bias 1				1.00mA	1.00V	30.0V	30.0V	250uA	1.00mA	@008-	653V	250uA	1.00A	1.00A	20.0V	20.0V	600V
Bias 2										@007-			10.0V
Bias 3								999V	999V
Bias 4				2.50ms	40.0ms	40.0ms	40.0ms	20.0ms	10.0ms		20.0ms	2.50ms	1.00ms	2.00ms	40.0ms	40.0ms	20.0ms	
Bias 5				
Bias 6				
1	41	5	1	0.000E+00	0.000E+00	3.940E-07	4.480E-07	7.321E+02	7.388E+02	6.700E+00	8.100E-09	3.446E+00	3.051E-01	7.650E-01	6.800E-08	5.540E-08	2.900E-09	
2	47	5	1	0.000E+00	0.000E+00	4.000E-07	4.610E-07	7.240E+02	7.359E+02	1.190E+01	7.800E-09	3.398E+00	3.071E-01	7.640E-01	7.250E-08	5.450E-08	2.800E-09	
3	53	5	1	0.000E+00	0.000E+00	3.860E-07	4.550E-07	7.349E+02	7.417E+02	6.800E+00	7.800E-09	3.285E+00	3.077E-01	7.600E-01	7.050E-08	5.670E-08	2.800E-09	
4	47	7	1	0.000E+00	0.000E+00	4.150E-07	4.860E-07	7.615E+02	7.657E+02	4.200E+00	6.700E-09	3.355E+00	3.084E-01	7.620E-01	7.610E-08	5.860E-08	2.300E-09	
5	47	9	1	0.000E+00	0.000E+00	3.860E-07	6.680E-07	7.624E+02	7.653E+02	2.900E+00	6.800E-09	3.332E+00	3.080E-01	7.620E-01	6.620E-08	7.150E-08	2.600E-09	
6	23	11	1	0.000E+00	0.000E+00	5.650E-07	4.450E-07	7.502E+02	7.547E+02	4.500E+00	6.600E-09	3.481E+00	3.103E-01	7.640E-01	1.183E-07	4.950E-08	2.300E-09	
7	29	11	1	0.000E+00	1.000E-08	3.640E-07	4.220E-07	7.664E+02	7.679E+02	1.500E+00	6.600E-09	3.387E+00	3.066E-01	7.630E-01	6.180E-08	4.840E-08	2.500E-09	
8	35	11	1	0.000E+00	1.000E-08	3.850E-07	4.380E-07	7.646E+02	7.662E+02	1.600E+00	6.800E-09	3.379E+00	3.059E-01	7.630E-01	6.460E-08	4.950E-08	2.400E-09	
9	41	11	1	0.000E+00	0.000E+00	5.770E-07	4.650E-07	7.623E+02	7.644E+02	2.100E+00	6.900E-09	3.353E+00	3.053E-01	7.620E-01	9.840E-08	5.640E-08	2.400E-09	
10	47	11	1	0.000E+00	0.000E+00	3.710E-07	4.810E-07	7.593E+02	7.615E+02	2.200E+00	6.800E-09	3.330E+00	3.062E-01	7.620E-01	6.470E-08	5.360E-08	2.300E-09	
