Program name	ME58Y81_G0GC2AD.jtf
Lot number	FA53-5465-305A-250303@203
Wafer number	10
Date	2025/03/03
Time	01:24:20

No.U	X	Y	Bin	CONT	IGSS0	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS2
LimitU				0.500V	99.00uA	4.000uA	4.000uA	900.0V	900.0V	50.00-	250.0nA	4.000V	365.0mOHM	1.000V	300.0nA	300.0nA	200.0nA	
LimitL				0V	0A	0A	0A	660.0V	660.0V	10.00-	0A	3.000V	100.0mOHM	0.000V	0A	0A	0A	
Bias 1				1.00mA	1.00V	30.0V	30.0V	250uA	1.00mA	@008-	653V	250uA	1.00A	1.00A	20.0V	20.0V	600V
Bias 2										@007-			10.0V
Bias 3								999V	999V
Bias 4				2.50ms	40.0ms	40.0ms	40.0ms	20.0ms	10.0ms		20.0ms	2.50ms	1.00ms	2.00ms	40.0ms	40.0ms	20.0ms	
Bias 5				
Bias 6				
1	41	5	1	0.000E+00	1.000E-08	3.990E-07	5.510E-07	7.415E+02	7.472E+02	5.700E+00	1.080E-08	3.449E+00	3.032E-01	7.650E-01	6.820E-08	7.840E-08	3.500E-09	
2	47	5	1	0.000E+00	0.000E+00	4.430E-07	5.480E-07	7.412E+02	7.496E+02	8.400E+00	9.000E-09	3.400E+00	3.042E-01	7.640E-01	7.660E-08	6.610E-08	3.400E-09	
3	53	5	1	0.000E+00	0.000E+00	6.240E-07	5.830E-07	7.479E+02	7.532E+02	5.300E+00	8.100E-09	3.295E+00	3.048E-01	7.600E-01	1.074E-07	7.600E-08	3.200E-09	
4	47	7	1	0.000E+00	0.000E+00	3.930E-07	5.800E-07	7.649E+02	7.679E+02	3.000E+00	6.800E-09	3.351E+00	3.079E-01	7.630E-01	6.690E-08	6.860E-08	2.600E-09	
5	47	9	1	0.000E+00	0.000E+00	3.750E-07	4.520E-07	7.651E+02	7.669E+02	1.800E+00	7.000E-09	3.328E+00	3.078E-01	7.620E-01	6.590E-08	5.430E-08	2.600E-09	
6	23	11	1	0.000E+00	0.000E+00	3.720E-07	4.300E-07	7.530E+02	7.572E+02	4.200E+00	6.700E-09	3.476E+00	3.103E-01	7.640E-01	6.340E-08	5.090E-08	2.300E-09	
7	29	11	1	0.000E+00	0.000E+00	3.750E-07	4.350E-07	7.659E+02	7.675E+02	1.600E+00	6.900E-09	3.398E+00	3.078E-01	7.630E-01	6.540E-08	5.090E-08	2.800E-09	
8	35	11	1	0.000E+00	0.000E+00	3.750E-07	4.550E-07	7.649E+02	7.664E+02	1.500E+00	6.800E-09	3.372E+00	3.059E-01	7.620E-01	6.420E-08	5.270E-08	2.600E-09	
9	41	11	1	0.000E+00	1.000E-08	4.520E-07	4.720E-07	7.642E+02	7.659E+02	1.700E+00	6.800E-09	3.334E+00	3.056E-01	7.620E-01	7.620E-08	5.630E-08	2.700E-09	
10	47	11	1	0.000E+00	0.000E+00	3.970E-07	4.450E-07	7.632E+02	7.650E+02	1.800E+00	7.000E-09	3.325E+00	3.058E-01	7.620E-01	6.640E-08	5.470E-08	2.700E-09	
