Program name	ME58Y81_G0GC2AD.jtf
Lot number	FA53-5465-305A-250303@203
Wafer number	6
Date	2025/03/03
Time	00:52:09

No.U	X	Y	Bin	CONT	IGSS0	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS2
LimitU				0.500V	99.00uA	4.000uA	4.000uA	900.0V	900.0V	50.00-	250.0nA	4.000V	365.0mOHM	1.000V	300.0nA	300.0nA	200.0nA	
LimitL				0V	0A	0A	0A	660.0V	660.0V	10.00-	0A	3.000V	100.0mOHM	0.000V	0A	0A	0A	
Bias 1				1.00mA	1.00V	30.0V	30.0V	250uA	1.00mA	@008-	653V	250uA	1.00A	1.00A	20.0V	20.0V	600V
Bias 2										@007-			10.0V
Bias 3								999V	999V
Bias 4				2.50ms	40.0ms	40.0ms	40.0ms	20.0ms	10.0ms		20.0ms	2.50ms	1.00ms	2.00ms	40.0ms	40.0ms	20.0ms	
Bias 5				
Bias 6				
1	41	5	1	0.000E+00	0.000E+00	3.790E-07	5.150E-07	7.382E+02	7.425E+02	4.300E+00	8.600E-09	3.464E+00	3.071E-01	7.650E-01	6.890E-08	6.900E-08	3.300E-09	
2	47	5	1	0.000E+00	1.000E-08	4.660E-07	4.570E-07	7.319E+02	7.375E+02	5.600E+00	8.600E-09	3.395E+00	3.088E-01	7.630E-01	7.750E-08	5.790E-08	3.200E-09	
3	53	5	3	0.000E+00	99.99													
4	47	7	1	0.000E+00	0.000E+00	4.610E-07	5.370E-07	7.498E+02	7.548E+02	5.000E+00	7.100E-09	3.334E+00	3.134E-01	7.620E-01	9.580E-08	6.280E-08	2.500E-09	
5	47	9	1	0.000E+00	0.000E+00	3.830E-07	4.290E-07	7.440E+02	7.484E+02	4.400E+00	6.900E-09	3.308E+00	3.148E-01	7.620E-01	6.570E-08	5.300E-08	2.300E-09	
6	23	11	1	0.000E+00	2.000E-08	6.360E-07	5.310E-07	7.590E+02	7.618E+02	2.800E+00	6.800E-09	3.457E+00	3.126E-01	7.640E-01	1.042E-07	5.960E-08	2.600E-09	
7	29	11	1	0.000E+00	0.000E+00	3.850E-07	4.370E-07	7.629E+02	7.650E+02	2.100E+00	6.800E-09	3.397E+00	3.121E-01	7.640E-01	6.570E-08	5.410E-08	2.300E-09	
8	35	11	1	0.000E+00	0.000E+00	3.800E-07	4.220E-07	7.536E+02	7.567E+02	3.100E+00	6.800E-09	3.361E+00	3.127E-01	7.620E-01	6.650E-08	4.970E-08	2.200E-09	
9	41	11	1	0.000E+00	0.000E+00	3.880E-07	7.980E-07	7.455E+02	7.492E+02	3.700E+00	7.000E-09	3.350E+00	3.137E-01	7.630E-01	6.890E-08	1.072E-07	2.300E-09	
10	47	11	1	0.000E+00	0.000E+00	4.720E-07	4.410E-07	7.425E+02	7.453E+02	2.800E+00	6.800E-09	3.316E+00	3.137E-01	7.620E-01	8.990E-08	5.530E-08	2.100E-09	
11	53	11	1	0.000E+00	0.000E+00	3.930E-07	4.340E-07	7.478E+02	7.508E+02	3.000E+00	7.000E-09	3.304E+00	3.149E-01	7.620E-01	6.740E-08	5.440E-08	2.200E-09	
