Program name	ME58Y81_G0GC2AD.jtf
Lot number	FA53-5465-305A-250303@203
Wafer number	5
Date	2025/03/03
Time	00:43:06

No.U	X	Y	Bin	CONT	IGSS0	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS2
LimitU				0.500V	99.00uA	4.000uA	4.000uA	900.0V	900.0V	50.00-	250.0nA	4.000V	365.0mOHM	1.000V	300.0nA	300.0nA	200.0nA	
LimitL				0V	0A	0A	0A	660.0V	660.0V	10.00-	0A	3.000V	100.0mOHM	0.000V	0A	0A	0A	
Bias 1				1.00mA	1.00V	30.0V	30.0V	250uA	1.00mA	@008-	653V	250uA	1.00A	1.00A	20.0V	20.0V	600V
Bias 2										@007-			10.0V
Bias 3								999V	999V
Bias 4				2.50ms	40.0ms	40.0ms	40.0ms	20.0ms	10.0ms		20.0ms	2.50ms	1.00ms	2.00ms	40.0ms	40.0ms	20.0ms	
Bias 5				
Bias 6				
1	41	5	1	0.000E+00	0.000E+00	5.270E-07	5.820E-07	7.337E+02	7.434E+02	9.700E+00	1.020E-08	3.420E+00	3.080E-01	7.650E-01	9.140E-08	8.160E-08	3.600E-09	
2	47	5	1	0.000E+00	0.000E+00	5.300E-07	6.620E-07	7.223E+02	7.393E+02	1.700E+01	1.000E-08	3.392E+00	3.099E-01	7.650E-01	9.470E-08	9.640E-08	3.600E-09	
3	53	5	1	0.000E+00	0.000E+00	5.210E-07	5.880E-07	7.301E+02	7.407E+02	1.060E+01	1.290E-08	3.298E+00	3.104E-01	7.610E-01	9.000E-08	8.090E-08	4.400E-09	
4	47	7	1	0.000E+00	0.000E+00	4.970E-07	6.990E-07	7.579E+02	7.652E+02	7.300E+00	7.700E-09	3.322E+00	3.127E-01	7.620E-01	8.990E-08	9.070E-08	2.500E-09	
5	47	9	1	0.000E+00	0.000E+00	5.420E-07	5.290E-07	7.628E+02	7.687E+02	5.900E+00	7.000E-09	3.303E+00	3.124E-01	7.620E-01	9.700E-08	7.250E-08	2.400E-09	
6	23	11	1	0.000E+00	0.000E+00	4.860E-07	5.670E-07	7.573E+02	7.628E+02	5.500E+00	6.800E-09	3.457E+00	3.105E-01	7.640E-01	8.450E-08	7.260E-08	2.200E-09	
7	29	11	1	0.000E+00	0.000E+00	4.710E-07	6.420E-07	7.711E+02	7.743E+02	3.200E+00	6.900E-09	3.364E+00	3.102E-01	7.630E-01	8.380E-08	8.860E-08	2.600E-09	
8	35	11	1	0.000E+00	0.000E+00	5.320E-07	5.700E-07	7.700E+02	7.730E+02	3.000E+00	7.000E-09	3.350E+00	3.095E-01	7.630E-01	8.450E-08	7.600E-08	2.600E-09	
9	41	11	1	0.000E+00	0.000E+00	4.740E-07	5.490E-07	7.641E+02	7.691E+02	5.000E+00	6.900E-09	3.321E+00	3.113E-01	7.630E-01	8.230E-08	7.430E-08	2.200E-09	
10	47	11	1	0.000E+00	0.000E+00	4.540E-07	5.920E-07	7.604E+02	7.658E+02	5.400E+00	7.000E-09	3.306E+00	3.119E-01	7.620E-01	8.170E-08	7.250E-08	2.300E-09	
