Program name	ME58Y81_G0GC2AD.jtf
Lot number	FA53-5465-305A-250303@203
Wafer number	19
Date	2025/03/03
Time	02:37:45

No.U	X	Y	Bin	CONT	IGSS0	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS2
LimitU				0.500V	99.00uA	4.000uA	4.000uA	900.0V	900.0V	50.00-	250.0nA	4.000V	365.0mOHM	1.000V	300.0nA	300.0nA	200.0nA	
LimitL				0V	0A	0A	0A	660.0V	660.0V	10.00-	0A	3.000V	100.0mOHM	0.000V	0A	0A	0A	
Bias 1				1.00mA	1.00V	30.0V	30.0V	250uA	1.00mA	@008-	653V	250uA	1.00A	1.00A	20.0V	20.0V	600V
Bias 2										@007-			10.0V
Bias 3								999V	999V
Bias 4				2.50ms	40.0ms	40.0ms	40.0ms	20.0ms	10.0ms		20.0ms	2.50ms	1.00ms	2.00ms	40.0ms	40.0ms	20.0ms	
Bias 5				
Bias 6				
1	41	5	6	0.000E+00	0.000E+00	5.450E-07	6.110E-07	6.570E+02										
2	47	5	6	0.000E+00	0.000E+00	7.940E-07	6.470E-07	6.157E+02										
3	53	5	1	0.000E+00	0.000E+00	5.680E-07	7.070E-07	6.944E+02	7.317E+02	3.730E+01	1.120E-08	3.263E+00	3.109E-01	7.600E-01	9.990E-08	1.002E-07	4.300E-09	
4	47	7	1	0.000E+00	0.000E+00	6.330E-07	7.490E-07	7.022E+02	7.409E+02	3.870E+01	4.220E-08	3.354E+00	3.120E-01	7.630E-01	1.108E-07	1.299E-07	3.000E-09	
5	47	9	1	0.000E+00	0.000E+00	5.160E-07	6.120E-07	7.308E+02	7.537E+02	2.290E+01	7.100E-09	3.323E+00	3.117E-01	7.620E-01	9.080E-08	7.940E-08	3.000E-09	
6	23	11	1	0.000E+00	0.000E+00	4.850E-07	7.160E-07	7.374E+02	7.452E+02	7.800E+00	7.000E-09	3.464E+00	3.106E-01	7.650E-01	8.590E-08	9.900E-08	2.600E-09	
7	29	11	1	0.000E+00	0.000E+00	4.840E-07	5.690E-07	7.609E+02	7.652E+02	4.300E+00	7.000E-09	3.375E+00	3.096E-01	7.630E-01	8.650E-08	7.170E-08	2.800E-09	
8	35	11	1	0.000E+00	0.000E+00	4.710E-07	6.250E-07	7.537E+02	7.596E+02	5.900E+00	7.200E-09	3.361E+00	3.091E-01	7.630E-01	8.360E-08	7.380E-08	3.000E-09	
9	41	11	1	0.000E+00	0.000E+00	5.040E-07	5.810E-07	7.447E+02	7.538E+02	9.100E+00	7.300E-09	3.323E+00	3.098E-01	7.640E-01	8.760E-08	7.730E-08	3.000E-09	
10	47	11	1	0.000E+00	0.000E+00	5.290E-07	5.930E-07	7.261E+02	7.462E+02	2.010E+01	7.400E-09	3.319E+00	3.110E-01	7.630E-01	1.010E-07	7.530E-08	2.900E-09	
11	53	11	1	0.000E+00	1.000E-08	5.020E-07	6.760E-07	7.480E+02	7.556E+02	7.600E+00	7.400E-09	3.304E+00	3.106E-01	7.630E-01	8.890E-08	9.260E-08	3.200E-09	
