Program name	ME58Y81_G0GC2AD.jtf
Lot number	FA53-5465-305A-250303@203
Wafer number	21
Date	2025/03/03
Time	02:53:41

No.U	X	Y	Bin	CONT	IGSS0	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS2
LimitU				0.500V	99.00uA	4.000uA	4.000uA	900.0V	900.0V	50.00-	250.0nA	4.000V	365.0mOHM	1.000V	300.0nA	300.0nA	200.0nA	
LimitL				0V	0A	0A	0A	660.0V	660.0V	10.00-	0A	3.000V	100.0mOHM	0.000V	0A	0A	0A	
Bias 1				1.00mA	1.00V	30.0V	30.0V	250uA	1.00mA	@008-	653V	250uA	1.00A	1.00A	20.0V	20.0V	600V
Bias 2										@007-			10.0V
Bias 3								999V	999V
Bias 4				2.50ms	40.0ms	40.0ms	40.0ms	20.0ms	10.0ms		20.0ms	2.50ms	1.00ms	2.00ms	40.0ms	40.0ms	20.0ms	
Bias 5				
Bias 6				
1	41	5	1	0.000E+00	0.000E+00	5.750E-07	6.130E-07	7.365E+02	7.464E+02	9.900E+00	9.000E-09	3.463E+00	3.094E-01	7.650E-01	9.950E-08	8.810E-08	3.700E-09	
2	47	5	1	0.000E+00	0.000E+00	5.870E-07	6.450E-07	7.241E+02	7.419E+02	1.780E+01	8.000E-09	3.420E+00	3.114E-01	7.650E-01	1.044E-07	9.080E-08	3.300E-09	
3	53	5	3	0.000E+00	99.99													
4	47	7	1	0.000E+00	0.000E+00	6.980E-07	6.420E-07	7.468E+02	7.621E+02	1.530E+01	6.900E-09	3.357E+00	3.158E-01	7.630E-01	1.207E-07	8.800E-08	6.800E-09	
5	47	9	1	0.000E+00	0.000E+00	5.020E-07	6.080E-07	7.419E+02	7.579E+02	1.600E+01	7.000E-09	3.323E+00	3.155E-01	7.620E-01	8.960E-08	8.090E-08	6.500E-09	
6	23	11	1	0.000E+00	0.000E+00	5.430E-07	7.350E-07	7.455E+02	7.530E+02	7.500E+00	6.700E-09	3.483E+00	3.177E-01	7.650E-01	9.410E-08	1.060E-07	2.600E-09	
7	29	11	1	0.000E+00	0.000E+00	4.980E-07	5.450E-07	7.606E+02	7.659E+02	5.300E+00	6.800E-09	3.387E+00	3.155E-01	7.640E-01	8.450E-08	7.480E-08	2.800E-09	
8	35	11	1	0.000E+00	1.000E-08	5.040E-07	5.330E-07	7.561E+02	7.628E+02	6.700E+00	6.900E-09	3.373E+00	3.151E-01	7.640E-01	9.040E-08	7.060E-08	2.500E-09	
9	41	11	1	0.000E+00	1.000E-08	5.110E-07	5.850E-07	7.447E+02	7.562E+02	1.150E+01	7.000E-09	3.334E+00	3.147E-01	7.630E-01	8.840E-08	7.720E-08	2.500E-09	
10	47	11	1	0.000E+00	1.000E-08	5.680E-07	5.820E-07	7.398E+02	7.536E+02	1.380E+01	7.100E-09	3.321E+00	3.142E-01	7.640E-01	9.100E-08	7.900E-08	2.700E-09	
11	53	11	1	0.000E+00	0.000E+00	5.250E-07	5.860E-07	7.545E+02	7.616E+02	7.100E+00	6.900E-09	3.300E+00	3.135E-01	7.630E-01	9.210E-08	8.480E-08	2.700E-09	
