Program name	ME58Y81_G0GC2AD.jtf
Lot number	FA53-5465-305A-250303@203
Wafer number	7
Date	2025/03/03
Time	01:00:12

No.U	X	Y	Bin	CONT	IGSS0	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS2
LimitU				0.500V	99.00uA	4.000uA	4.000uA	900.0V	900.0V	50.00-	250.0nA	4.000V	365.0mOHM	1.000V	300.0nA	300.0nA	200.0nA	
LimitL				0V	0A	0A	0A	660.0V	660.0V	10.00-	0A	3.000V	100.0mOHM	0.000V	0A	0A	0A	
Bias 1				1.00mA	1.00V	30.0V	30.0V	250uA	1.00mA	@008-	653V	250uA	1.00A	1.00A	20.0V	20.0V	600V
Bias 2										@007-			10.0V
Bias 3								999V	999V
Bias 4				2.50ms	40.0ms	40.0ms	40.0ms	20.0ms	10.0ms		20.0ms	2.50ms	1.00ms	2.00ms	40.0ms	40.0ms	20.0ms	
Bias 5				
Bias 6				
1	41	5	1	0.000E+00	0.000E+00	5.340E-07	5.850E-07	7.272E+02	7.420E+02	1.480E+01	8.200E-09	3.467E+00	3.125E-01	7.670E-01	9.390E-08	8.260E-08	3.300E-09	
2	47	5	1	0.000E+00	0.000E+00	5.200E-07	5.860E-07	7.117E+02	7.361E+02	2.440E+01	8.600E-09	3.411E+00	3.133E-01	7.660E-01	9.360E-08	8.260E-08	3.500E-09	
3	53	5	1	0.000E+00	0.000E+00	5.210E-07	5.970E-07	7.500E+02	7.556E+02	5.600E+00	8.300E-09	3.312E+00	3.131E-01	7.620E-01	9.460E-08	8.430E-08	3.200E-09	
4	47	7	1	0.000E+00	0.000E+00	5.150E-07	8.240E-07	7.621E+02	7.686E+02	6.500E+00	7.100E-09	3.355E+00	3.157E-01	7.630E-01	9.150E-08	1.159E-07	2.400E-09	
5	47	9	1	0.000E+00	0.000E+00	5.650E-07	6.080E-07	7.642E+02	7.684E+02	4.200E+00	7.200E-09	3.331E+00	3.149E-01	7.630E-01	1.020E-07	7.980E-08	2.700E-09	
6	23	11	1	0.000E+00	0.000E+00	4.850E-07	5.660E-07	7.377E+02	7.467E+02	9.000E+00	7.000E-09	3.475E+00	3.160E-01	7.650E-01	8.380E-08	7.280E-08	2.900E-09	
7	29	11	1	0.000E+00	0.000E+00	4.880E-07	5.630E-07	7.679E+02	7.706E+02	2.700E+00	7.000E-09	3.365E+00	3.141E-01	7.640E-01	8.130E-08	7.740E-08	2.700E-09	
8	35	11	1	0.000E+00	0.000E+00	4.730E-07	5.880E-07	7.656E+02	7.684E+02	2.800E+00	7.400E-09	3.372E+00	3.135E-01	7.630E-01	8.740E-08	7.820E-08	2.900E-09	
9	41	11	1	0.000E+00	0.000E+00	5.870E-07	6.710E-07	7.635E+02	7.671E+02	3.600E+00	7.400E-09	3.326E+00	3.133E-01	7.640E-01	1.012E-07	8.990E-08	3.000E-09	
10	47	11	1	0.000E+00	0.000E+00	5.000E-07	9.170E-07	7.619E+02	7.648E+02	2.900E+00	7.400E-09	3.330E+00	3.140E-01	7.630E-01	8.870E-08	1.467E-07	2.900E-09	
