Program name	ME58Y81_G0GC2AD.jtf
Lot number	FA53-5465-305A-250303@203
Wafer number	4
Date	2025/03/03
Time	00:35:06

No.U	X	Y	Bin	CONT	IGSS0	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS2
LimitU				0.500V	99.00uA	4.000uA	4.000uA	900.0V	900.0V	50.00-	250.0nA	4.000V	365.0mOHM	1.000V	300.0nA	300.0nA	200.0nA	
LimitL				0V	0A	0A	0A	660.0V	660.0V	10.00-	0A	3.000V	100.0mOHM	0.000V	0A	0A	0A	
Bias 1				1.00mA	1.00V	30.0V	30.0V	250uA	1.00mA	@008-	653V	250uA	1.00A	1.00A	20.0V	20.0V	600V
Bias 2										@007-			10.0V
Bias 3								999V	999V
Bias 4				2.50ms	40.0ms	40.0ms	40.0ms	20.0ms	10.0ms		20.0ms	2.50ms	1.00ms	2.00ms	40.0ms	40.0ms	20.0ms	
Bias 5				
Bias 6				
1	41	5	1	0.000E+00	0.000E+00	4.540E-07	5.540E-07	7.303E+02	7.409E+02	1.060E+01	1.030E-08	3.464E+00	3.065E-01	7.650E-01	7.990E-08	7.240E-08	3.900E-09	
2	47	5	1	0.000E+00	0.000E+00	6.290E-07	7.850E-07	7.325E+02	7.437E+02	1.120E+01	9.000E-09	3.408E+00	3.075E-01	7.640E-01	1.064E-07	1.228E-07	3.100E-09	
3	53	5	1	0.000E+00	0.000E+00	4.350E-07	5.090E-07	7.456E+02	7.512E+02	5.600E+00	1.000E-08	3.309E+00	3.085E-01	7.590E-01	7.820E-08	6.770E-08	3.700E-09	
4	47	7	1	0.000E+00	0.000E+00	7.450E-07	5.570E-07	7.639E+02	7.684E+02	4.500E+00	7.100E-09	3.336E+00	3.115E-01	7.630E-01	1.212E-07	6.880E-08	2.600E-09	
5	47	9	1	0.000E+00	0.000E+00	4.360E-07	6.370E-07	7.627E+02	7.661E+02	3.400E+00	7.000E-09	3.311E+00	3.105E-01	7.610E-01	7.920E-08	1.014E-07	2.700E-09	
6	23	11	1	0.000E+00	0.000E+00	3.850E-07	4.550E-07	7.524E+02	7.571E+02	4.700E+00	6.600E-09	3.500E+00	3.117E-01	7.640E-01	6.710E-08	5.750E-08	2.200E-09	
7	29	11	1	0.000E+00	0.000E+00	3.940E-07	6.340E-07	7.672E+02	7.689E+02	1.700E+00	6.800E-09	3.409E+00	3.088E-01	7.640E-01	6.730E-08	7.730E-08	2.800E-09	
8	35	11	1	0.000E+00	0.000E+00	4.240E-07	4.430E-07	7.653E+02	7.671E+02	1.800E+00	7.000E-09	3.373E+00	3.086E-01	7.630E-01	7.330E-08	5.580E-08	2.500E-09	
9	41	11	1	0.000E+00	0.000E+00	4.670E-07	4.980E-07	7.616E+02	7.646E+02	3.000E+00	7.100E-09	3.350E+00	3.096E-01	7.630E-01	8.190E-08	6.440E-08	2.500E-09	
10	47	11	1	0.000E+00	1.000E-08	4.270E-07	7.620E-07	7.590E+02	7.622E+02	3.200E+00	6.900E-09	3.325E+00	3.096E-01	7.620E-01	7.450E-08	9.870E-08	2.400E-09	
