Program name	ME58Y81_G0GC2AD.jtf
Lot number	FA53-5465-305A-250303@203
Wafer number	22
Date	2025/03/03
Time	03:02:14

No.U	X	Y	Bin	CONT	IGSS0	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS2
LimitU				0.500V	99.00uA	4.000uA	4.000uA	900.0V	900.0V	50.00-	250.0nA	4.000V	365.0mOHM	1.000V	300.0nA	300.0nA	200.0nA	
LimitL				0V	0A	0A	0A	660.0V	660.0V	10.00-	0A	3.000V	100.0mOHM	0.000V	0A	0A	0A	
Bias 1				1.00mA	1.00V	30.0V	30.0V	250uA	1.00mA	@008-	653V	250uA	1.00A	1.00A	20.0V	20.0V	600V
Bias 2										@007-			10.0V
Bias 3								999V	999V
Bias 4				2.50ms	40.0ms	40.0ms	40.0ms	20.0ms	10.0ms		20.0ms	2.50ms	1.00ms	2.00ms	40.0ms	40.0ms	20.0ms	
Bias 5				
Bias 6				
1	41	5	3	0.000E+00	99.99													
2	47	5	1	0.000E+00	0.000E+00	4.160E-07	4.680E-07	7.198E+02	7.305E+02	1.070E+01	1.240E-08	3.402E+00	3.084E-01	7.640E-01	7.280E-08	6.100E-08	4.100E-09	
3	53	5	1	0.000E+00	1.000E-08	4.280E-07	4.730E-07	7.337E+02	7.412E+02	7.500E+00	1.000E-08	3.234E+00	3.110E-01	7.600E-01	7.350E-08	6.060E-08	3.600E-09	
4	47	7	1	0.000E+00	0.000E+00	3.980E-07	5.240E-07	7.489E+02	7.549E+02	6.000E+00	7.100E-09	3.357E+00	3.120E-01	7.630E-01	6.870E-08	6.960E-08	2.400E-09	
5	47	9	1	0.000E+00	0.000E+00	3.970E-07	4.690E-07	7.521E+02	7.565E+02	4.400E+00	6.800E-09	3.331E+00	3.120E-01	7.620E-01	6.870E-08	5.730E-08	2.300E-09	
6	23	11	1	0.000E+00	0.000E+00	3.740E-07	4.210E-07	7.447E+02	7.491E+02	4.400E+00	6.800E-09	3.465E+00	3.101E-01	7.640E-01	6.490E-08	5.160E-08	2.100E-09	
7	29	11	1	0.000E+00	0.000E+00	3.890E-07	4.580E-07	7.592E+02	7.610E+02	1.800E+00	6.900E-09	3.373E+00	3.088E-01	7.640E-01	7.210E-08	5.270E-08	2.100E-09	
8	35	11	1	0.000E+00	0.000E+00	4.280E-07	5.040E-07	7.585E+02	7.603E+02	1.800E+00	7.000E-09	3.369E+00	3.083E-01	7.620E-01	7.700E-08	6.040E-08	2.200E-09	
9	41	11	1	0.000E+00	0.000E+00	4.040E-07	5.020E-07	7.560E+02	7.591E+02	3.100E+00	7.200E-09	3.340E+00	3.097E-01	7.630E-01	7.160E-08	6.090E-08	2.300E-09	
10	47	11	1	0.000E+00	0.000E+00	4.150E-07	5.180E-07	7.522E+02	7.560E+02	3.800E+00	6.900E-09	3.325E+00	3.108E-01	7.630E-01	7.120E-08	6.290E-08	2.400E-09	
11	53	11	1	0.000E+00	1.000E-08	4.940E-07	5.020E-07	7.546E+02	7.577E+02	3.100E+00	7.100E-09	3.315E+00	3.103E-01	7.620E-01	8.140E-08	6.090E-08	2.500E-09	
