Program name	ME58Y81_G0GC2AD.jtf
Lot number	FA53-5465-305A-250303@203
Wafer number	20
Date	2025/03/03
Time	02:45:42

No.U	X	Y	Bin	CONT	IGSS0	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS2
LimitU				0.500V	99.00uA	4.000uA	4.000uA	900.0V	900.0V	50.00-	250.0nA	4.000V	365.0mOHM	1.000V	300.0nA	300.0nA	200.0nA	
LimitL				0V	0A	0A	0A	660.0V	660.0V	10.00-	0A	3.000V	100.0mOHM	0.000V	0A	0A	0A	
Bias 1				1.00mA	1.00V	30.0V	30.0V	250uA	1.00mA	@008-	653V	250uA	1.00A	1.00A	20.0V	20.0V	600V
Bias 2										@007-			10.0V
Bias 3								999V	999V
Bias 4				2.50ms	40.0ms	40.0ms	40.0ms	20.0ms	10.0ms		20.0ms	2.50ms	1.00ms	2.00ms	40.0ms	40.0ms	20.0ms	
Bias 5				
Bias 6				
1	41	5	1	0.000E+00	0.000E+00	4.110E-07	5.220E-07	7.421E+02	7.463E+02	4.200E+00	8.400E-09	3.444E+00	2.993E-01	7.650E-01	7.020E-08	6.300E-08	3.400E-09	
2	47	5	1	0.000E+00	0.000E+00	4.150E-07	8.700E-07	7.397E+02	7.471E+02	7.400E+00	8.400E-09	3.400E+00	3.023E-01	7.640E-01	7.370E-08	1.011E-07	3.200E-09	
3	53	5	3	0.000E+00	99.99													
4	47	7	1	0.000E+00	0.000E+00	4.160E-07	5.290E-07	7.574E+02	7.616E+02	4.200E+00	7.200E-09	3.348E+00	3.064E-01	7.620E-01	7.120E-08	5.880E-08	2.600E-09	
5	47	9	1	0.000E+00	0.000E+00	4.180E-07	5.450E-07	7.571E+02	7.598E+02	2.700E+00	7.100E-09	3.325E+00	3.068E-01	7.620E-01	7.260E-08	6.420E-08	2.400E-09	
6	23	11	1	0.000E+00	0.000E+00	3.800E-07	4.400E-07	7.590E+02	7.618E+02	2.800E+00	6.800E-09	3.472E+00	3.051E-01	7.640E-01	6.460E-08	5.150E-08	2.600E-09	
7	29	11	1	0.000E+00	0.000E+00	4.720E-07	4.950E-07	7.596E+02	7.611E+02	1.500E+00	6.900E-09	3.390E+00	3.042E-01	7.640E-01	8.560E-08	5.620E-08	2.600E-09	
8	35	11	1	0.000E+00	0.000E+00	4.430E-07	4.760E-07	7.585E+02	7.602E+02	1.700E+00	7.000E-09	3.372E+00	3.052E-01	7.640E-01	7.530E-08	5.520E-08	2.700E-09	
9	41	11	1	0.000E+00	0.000E+00	5.540E-07	5.780E-07	7.573E+02	7.593E+02	2.000E+00	6.900E-09	3.347E+00	3.054E-01	7.630E-01	9.600E-08	6.750E-08	2.300E-09	
10	47	11	1	0.000E+00	0.000E+00	4.050E-07	5.460E-07	7.537E+02	7.565E+02	2.800E+00	7.200E-09	3.326E+00	3.060E-01	7.630E-01	7.020E-08	6.270E-08	2.400E-09	
11	53	11	1	0.000E+00	0.000E+00	5.130E-07	4.830E-07	7.562E+02	7.583E+02	2.100E+00	7.100E-09	3.314E+00	3.053E-01	7.630E-01	8.240E-08	5.760E-08	2.500E-09	
