Program name	ME58Y81_G0GC2AD.jtf
Lot number	FA53-5465-305A-250303@203
Wafer number	11
Date	2025/03/03
Time	01:32:19

No.U	X	Y	Bin	CONT	IGSS0	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS2
LimitU				0.500V	99.00uA	4.000uA	4.000uA	900.0V	900.0V	50.00-	250.0nA	4.000V	365.0mOHM	1.000V	300.0nA	300.0nA	200.0nA	
LimitL				0V	0A	0A	0A	660.0V	660.0V	10.00-	0A	3.000V	100.0mOHM	0.000V	0A	0A	0A	
Bias 1				1.00mA	1.00V	30.0V	30.0V	250uA	1.00mA	@008-	653V	250uA	1.00A	1.00A	20.0V	20.0V	600V
Bias 2										@007-			10.0V
Bias 3								999V	999V
Bias 4				2.50ms	40.0ms	40.0ms	40.0ms	20.0ms	10.0ms		20.0ms	2.50ms	1.00ms	2.00ms	40.0ms	40.0ms	20.0ms	
Bias 5				
Bias 6				
1	41	5	1	0.000E+00	0.000E+00	3.830E-07	6.630E-07	6.992E+02	7.264E+02	2.720E+01	9.100E-09	3.496E+00	3.121E-01	7.670E-01	6.730E-08	9.080E-08	6.400E-09	
2	47	5	9	0.000E+00	1.000E-08	4.060E-07	4.590E-07	6.651E+02	6.984E+02	3.330E+01	999.9							
3	53	5	1	0.000E+00	0.000E+00	4.020E-07	4.760E-07	7.111E+02	7.295E+02	1.840E+01	7.800E-09	3.308E+00	3.152E-01	7.610E-01	7.330E-08	5.630E-08	5.500E-09	
4	47	7	1	0.000E+00	0.000E+00	4.610E-07	4.790E-07	7.260E+02	7.518E+02	2.580E+01	6.800E-09	3.374E+00	3.140E-01	7.640E-01	7.240E-08	5.920E-08	5.400E-09	
5	47	9	1	0.000E+00	1.000E-08	3.940E-07	7.330E-07	7.499E+02	7.576E+02	7.700E+00	6.700E-09	3.348E+00	3.133E-01	7.630E-01	6.760E-08	9.110E-08	2.400E-09	
6	23	11	1	0.000E+00	0.000E+00	3.750E-07	4.470E-07	7.441E+02	7.501E+02	6.000E+00	6.500E-09	3.505E+00	3.154E-01	7.650E-01	6.520E-08	5.290E-08	2.200E-09	
7	29	11	1	0.000E+00	0.000E+00	3.730E-07	4.400E-07	7.625E+02	7.676E+02	5.100E+00	6.600E-09	3.431E+00	3.127E-01	7.650E-01	6.290E-08	5.020E-08	2.600E-09	
8	35	11	1	0.000E+00	0.000E+00	5.210E-07	4.910E-07	7.575E+02	7.633E+02	5.800E+00	6.600E-09	3.398E+00	3.122E-01	7.640E-01	8.230E-08	6.090E-08	2.400E-09	
9	41	11	1	0.000E+00	0.000E+00	3.980E-07	6.430E-07	7.523E+02	7.589E+02	6.600E+00	6.800E-09	3.383E+00	3.120E-01	7.640E-01	6.760E-08	8.300E-08	2.500E-09	
10	47	11	1	0.000E+00	0.000E+00	4.810E-07	4.830E-07	7.477E+02	7.541E+02	6.400E+00	6.700E-09	3.355E+00	3.123E-01	7.640E-01	8.120E-08	5.570E-08	2.300E-09	
