Program name	ME58Y81_G0GC2AD.jtf
Lot number	FA53-5465-305A-250303@203
Wafer number	25
Date	2025/03/03
Time	03:26:52

No.U	X	Y	Bin	CONT	IGSS0	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS2
LimitU				0.500V	99.00uA	4.000uA	4.000uA	900.0V	900.0V	50.00-	250.0nA	4.000V	365.0mOHM	1.000V	300.0nA	300.0nA	200.0nA	
LimitL				0V	0A	0A	0A	660.0V	660.0V	10.00-	0A	3.000V	100.0mOHM	0.000V	0A	0A	0A	
Bias 1				1.00mA	1.00V	30.0V	30.0V	250uA	1.00mA	@008-	653V	250uA	1.00A	1.00A	20.0V	20.0V	600V
Bias 2										@007-			10.0V
Bias 3								999V	999V
Bias 4				2.50ms	40.0ms	40.0ms	40.0ms	20.0ms	10.0ms		20.0ms	2.50ms	1.00ms	2.00ms	40.0ms	40.0ms	20.0ms	
Bias 5				
Bias 6				
1	41	5	1	0.000E+00	1.000E-08	6.480E-07	6.700E-07	7.407E+02	7.477E+02	7.000E+00	8.100E-09	3.529E+00	3.087E-01	7.680E-01	1.205E-07	9.820E-08	3.200E-09	
2	47	5	1	0.000E+00	0.000E+00	6.060E-07	6.890E-07	7.251E+02	7.386E+02	1.350E+01	8.300E-09	3.445E+00	3.100E-01	7.650E-01	1.099E-07	1.010E-07	3.400E-09	
3	53	5	1	0.000E+00	0.000E+00	9.030E-07	6.730E-07	7.547E+02	7.594E+02	4.700E+00	8.300E-09	3.396E+00	3.084E-01	7.620E-01	1.820E-07	9.900E-08	3.300E-09	
4	47	7	1	0.000E+00	0.000E+00	5.890E-07	6.690E-07	7.599E+02	7.661E+02	6.200E+00	7.200E-09	3.348E+00	3.113E-01	7.640E-01	1.040E-07	9.420E-08	2.900E-09	
5	47	9	1	0.000E+00	0.000E+00	5.720E-07	6.890E-07	7.613E+02	7.660E+02	4.700E+00	7.400E-09	3.313E+00	3.107E-01	7.620E-01	1.006E-07	9.290E-08	2.900E-09	
6	23	11	1	0.000E+00	0.000E+00	5.080E-07	5.570E-07	7.635E+02	7.676E+02	4.100E+00	7.000E-09	3.489E+00	3.109E-01	7.640E-01	9.040E-08	7.400E-08	2.700E-09	
7	29	11	1	0.000E+00	0.000E+00	4.930E-07	5.720E-07	7.721E+02	7.740E+02	1.900E+00	6.900E-09	3.392E+00	3.091E-01	7.650E-01	8.740E-08	7.540E-08	2.800E-09	
8	35	11	1	0.000E+00	0.000E+00	5.450E-07	6.240E-07	7.664E+02	7.687E+02	2.300E+00	7.400E-09	3.370E+00	3.089E-01	7.630E-01	9.500E-08	8.360E-08	2.800E-09	
9	41	11	1	0.000E+00	0.000E+00	6.640E-07	7.040E-07	7.621E+02	7.656E+02	3.500E+00	7.400E-09	3.339E+00	3.089E-01	7.630E-01	1.222E-07	9.970E-08	3.200E-09	
10	47	11	1	0.000E+00	0.000E+00	5.590E-07	6.260E-07	7.586E+02	7.623E+02	3.700E+00	7.400E-09	3.320E+00	3.088E-01	7.630E-01	1.002E-07	8.620E-08	2.900E-09	
