Program name	ME58Y81_G0GC2AD.jtf
Lot number	FA53-5465-305A-250303@203
Wafer number	15
Date	2025/03/03
Time	02:05:06

No.U	X	Y	Bin	CONT	IGSS0	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS2
LimitU				0.500V	99.00uA	4.000uA	4.000uA	900.0V	900.0V	50.00-	250.0nA	4.000V	365.0mOHM	1.000V	300.0nA	300.0nA	200.0nA	
LimitL				0V	0A	0A	0A	660.0V	660.0V	10.00-	0A	3.000V	100.0mOHM	0.000V	0A	0A	0A	
Bias 1				1.00mA	1.00V	30.0V	30.0V	250uA	1.00mA	@008-	653V	250uA	1.00A	1.00A	20.0V	20.0V	600V
Bias 2										@007-			10.0V
Bias 3								999V	999V
Bias 4				2.50ms	40.0ms	40.0ms	40.0ms	20.0ms	10.0ms		20.0ms	2.50ms	1.00ms	2.00ms	40.0ms	40.0ms	20.0ms	
Bias 5				
Bias 6				
1	41	5	1	0.000E+00	1.000E-08	5.380E-07	6.520E-07	7.505E+02	7.562E+02	5.700E+00	1.040E-08	3.467E+00	3.060E-01	7.650E-01	9.890E-08	9.460E-08	4.400E-09	
2	47	5	1	0.000E+00	0.000E+00	4.980E-07	5.470E-07	7.332E+02	7.498E+02	1.660E+01	9.800E-09	3.415E+00	3.087E-01	7.650E-01	8.910E-08	7.730E-08	4.000E-09	
3	53	5	1	0.000E+00	0.000E+00	9.360E-07	8.820E-07	7.521E+02	7.576E+02	5.500E+00	1.000E-08	3.304E+00	3.099E-01	7.610E-01	1.828E-07	1.388E-07	4.100E-09	
4	47	7	1	0.000E+00	0.000E+00	4.930E-07	5.510E-07	7.596E+02	7.685E+02	8.900E+00	6.900E-09	3.352E+00	3.123E-01	7.640E-01	8.810E-08	7.320E-08	2.800E-09	
5	47	9	1	0.000E+00	0.000E+00	5.380E-07	5.300E-07	7.593E+02	7.659E+02	6.600E+00	7.000E-09	3.323E+00	3.127E-01	7.630E-01	8.900E-08	7.070E-08	2.800E-09	
6	23	11	1	0.000E+00	0.000E+00	4.680E-07	1.069E-06	7.756E+02	7.783E+02	2.700E+00	6.900E-09	3.485E+00	3.097E-01	7.650E-01	8.230E-08	1.789E-07	2.800E-09	
7	29	11	1	0.000E+00	0.000E+00	4.640E-07	5.100E-07	7.767E+02	7.789E+02	2.200E+00	6.900E-09	3.398E+00	3.104E-01	7.640E-01	7.940E-08	6.790E-08	2.800E-09	
8	35	11	1	0.000E+00	1.000E-08	4.730E-07	5.980E-07	7.699E+02	7.733E+02	3.400E+00	7.100E-09	3.372E+00	3.106E-01	7.630E-01	8.210E-08	7.290E-08	2.900E-09	
9	41	11	1	0.000E+00	0.000E+00	4.860E-07	6.580E-07	7.612E+02	7.672E+02	6.000E+00	7.100E-09	3.344E+00	3.108E-01	7.630E-01	8.770E-08	9.630E-08	2.800E-09	
10	47	11	1	0.000E+00	0.000E+00	4.620E-07	5.430E-07	7.568E+02	7.626E+02	5.800E+00	7.000E-09	3.329E+00	3.111E-01	7.640E-01	8.310E-08	7.190E-08	2.800E-09	
