Program name	ME58Y81_G0GC2AD.jtf
Lot number	FA53-5465-305A-250303@203
Wafer number	23
Date	2025/03/03
Time	03:10:14

No.U	X	Y	Bin	CONT	IGSS0	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS2
LimitU				0.500V	99.00uA	4.000uA	4.000uA	900.0V	900.0V	50.00-	250.0nA	4.000V	365.0mOHM	1.000V	300.0nA	300.0nA	200.0nA	
LimitL				0V	0A	0A	0A	660.0V	660.0V	10.00-	0A	3.000V	100.0mOHM	0.000V	0A	0A	0A	
Bias 1				1.00mA	1.00V	30.0V	30.0V	250uA	1.00mA	@008-	653V	250uA	1.00A	1.00A	20.0V	20.0V	600V
Bias 2										@007-			10.0V
Bias 3								999V	999V
Bias 4				2.50ms	40.0ms	40.0ms	40.0ms	20.0ms	10.0ms		20.0ms	2.50ms	1.00ms	2.00ms	40.0ms	40.0ms	20.0ms	
Bias 5				
Bias 6				
1	41	5	4	0.000E+00	0.000E+00	9.999												
2	47	5	1	0.000E+00	1.000E-08	5.800E-07	6.600E-07	7.267E+02	7.433E+02	1.660E+01	8.800E-09	3.411E+00	3.082E-01	7.640E-01	1.012E-07	8.960E-08	5.500E-09	
3	53	5	1	0.000E+00	0.000E+00	6.150E-07	6.300E-07	7.576E+02	7.622E+02	4.600E+00	9.000E-09	3.294E+00	3.085E-01	7.600E-01	1.062E-07	8.760E-08	9.400E-09	
4	47	7	1	0.000E+00	0.000E+00	5.230E-07	6.130E-07	7.578E+02	7.653E+02	7.500E+00	6.900E-09	3.342E+00	3.105E-01	7.630E-01	9.310E-08	8.660E-08	5.100E-09	
5	47	9	1	0.000E+00	0.000E+00	5.210E-07	5.860E-07	7.588E+02	7.645E+02	5.700E+00	6.900E-09	3.308E+00	3.103E-01	7.620E-01	8.860E-08	7.600E-08	4.600E-09	
6	23	11	1	0.000E+00	0.000E+00	7.290E-07	6.640E-07	7.634E+02	7.680E+02	4.600E+00	6.800E-09	3.467E+00	3.099E-01	7.640E-01	1.043E-07	9.910E-08	2.700E-09	
7	29	11	1	0.000E+00	0.000E+00	4.820E-07	5.760E-07	7.718E+02	7.738E+02	2.000E+00	7.200E-09	3.404E+00	3.087E-01	7.640E-01	8.580E-08	7.450E-08	3.200E-09	
8	35	11	1	0.000E+00	0.000E+00	4.990E-07	8.410E-07	7.634E+02	7.678E+02	4.400E+00	7.100E-09	3.358E+00	3.091E-01	7.630E-01	8.880E-08	1.256E-07	7.100E-09	
9	41	11	1	0.000E+00	0.000E+00	4.980E-07	5.950E-07	7.549E+02	7.616E+02	6.700E+00	7.100E-09	3.350E+00	3.091E-01	7.630E-01	8.650E-08	7.850E-08	6.500E-09	
10	47	11	1	0.000E+00	1.000E-08	4.870E-07	5.800E-07	7.530E+02	7.574E+02	4.400E+00	7.000E-09	3.316E+00	3.093E-01	7.630E-01	8.520E-08	7.410E-08	2.800E-09	
11	53	11	1	0.000E+00	0.000E+00	5.010E-07	6.000E-07	7.609E+02	7.652E+02	4.300E+00	7.100E-09	3.303E+00	3.087E-01	7.620E-01	8.920E-08	7.610E-08	2.800E-09	
