Program name	ME58Y81_G0GC2AD.jtf
Lot number	FA53-5465-305A-250303@203
Wafer number	24
Date	2025/03/03
Time	03:18:51

No.U	X	Y	Bin	CONT	IGSS0	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS2
LimitU				0.500V	99.00uA	4.000uA	4.000uA	900.0V	900.0V	50.00-	250.0nA	4.000V	365.0mOHM	1.000V	300.0nA	300.0nA	200.0nA	
LimitL				0V	0A	0A	0A	660.0V	660.0V	10.00-	0A	3.000V	100.0mOHM	0.000V	0A	0A	0A	
Bias 1				1.00mA	1.00V	30.0V	30.0V	250uA	1.00mA	@008-	653V	250uA	1.00A	1.00A	20.0V	20.0V	600V
Bias 2										@007-			10.0V
Bias 3								999V	999V
Bias 4				2.50ms	40.0ms	40.0ms	40.0ms	20.0ms	10.0ms		20.0ms	2.50ms	1.00ms	2.00ms	40.0ms	40.0ms	20.0ms	
Bias 5				
Bias 6				
1	41	5	1	0.000E+00	0.000E+00	5.600E-07	8.890E-07	7.418E+02	7.468E+02	5.000E+00	9.300E-09	3.446E+00	3.005E-01	7.650E-01	9.350E-08	1.412E-07	3.600E-09	
2	47	5	1	0.000E+00	0.000E+00	5.480E-07	5.350E-07	7.435E+02	7.510E+02	7.500E+00	9.300E-09	3.407E+00	3.030E-01	7.640E-01	8.550E-08	7.330E-08	3.500E-09	
3	53	5	1	0.000E+00	1.000E-08	4.220E-07	4.730E-07	7.424E+02	7.498E+02	7.400E+00	1.040E-08	3.226E+00	3.066E-01	7.600E-01	7.360E-08	6.070E-08	4.100E-09	
4	47	7	1	0.000E+00	0.000E+00	4.030E-07	6.240E-07	7.650E+02	7.667E+02	1.700E+00	8.600E-09	3.345E+00	3.074E-01	7.620E-01	7.330E-08	7.820E-08	2.900E-09	
5	47	9	1	0.000E+00	0.000E+00	4.010E-07	4.420E-07	7.627E+02	7.642E+02	1.500E+00	7.100E-09	3.315E+00	3.081E-01	7.620E-01	7.080E-08	5.570E-08	2.700E-09	
6	23	11	1	0.000E+00	0.000E+00	3.650E-07	4.360E-07	7.551E+02	7.587E+02	3.600E+00	6.900E-09	3.463E+00	3.073E-01	7.640E-01	6.490E-08	5.330E-08	2.600E-09	
7	29	11	1	0.000E+00	0.000E+00	3.920E-07	4.320E-07	7.594E+02	7.609E+02	1.500E+00	7.100E-09	3.374E+00	3.059E-01	7.630E-01	6.790E-08	5.420E-08	2.600E-09	
8	35	11	1	0.000E+00	0.000E+00	3.860E-07	4.440E-07	7.590E+02	7.605E+02	1.500E+00	7.100E-09	3.358E+00	3.059E-01	7.620E-01	6.690E-08	5.410E-08	2.500E-09	
9	41	11	1	0.000E+00	0.000E+00	4.020E-07	6.420E-07	7.595E+02	7.611E+02	1.600E+00	7.100E-09	3.328E+00	3.064E-01	7.620E-01	7.130E-08	7.490E-08	2.700E-09	
10	47	11	1	0.000E+00	0.000E+00	4.400E-07	4.620E-07	7.594E+02	7.611E+02	1.700E+00	7.000E-09	3.312E+00	3.078E-01	7.620E-01	7.440E-08	5.810E-08	2.300E-09	
