Program name	ME58Y81_G0GC2AD.jtf
Lot number	FA53-5465-305A-250303@203
Wafer number	9
Date	2025/03/03
Time	01:16:22

No.U	X	Y	Bin	CONT	IGSS0	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS2
LimitU				0.500V	99.00uA	4.000uA	4.000uA	900.0V	900.0V	50.00-	250.0nA	4.000V	365.0mOHM	1.000V	300.0nA	300.0nA	200.0nA	
LimitL				0V	0A	0A	0A	660.0V	660.0V	10.00-	0A	3.000V	100.0mOHM	0.000V	0A	0A	0A	
Bias 1				1.00mA	1.00V	30.0V	30.0V	250uA	1.00mA	@008-	653V	250uA	1.00A	1.00A	20.0V	20.0V	600V
Bias 2										@007-			10.0V
Bias 3								999V	999V
Bias 4				2.50ms	40.0ms	40.0ms	40.0ms	20.0ms	10.0ms		20.0ms	2.50ms	1.00ms	2.00ms	40.0ms	40.0ms	20.0ms	
Bias 5				
Bias 6				
1	41	5	1	0.000E+00	0.000E+00	5.410E-07	6.240E-07	7.233E+02	7.371E+02	1.380E+01	1.370E-08	3.434E+00	3.057E-01	7.650E-01	9.670E-08	8.600E-08	5.000E-09	
2	47	5	1	0.000E+00	0.000E+00	5.670E-07	6.520E-07	6.949E+02	7.243E+02	2.940E+01	1.380E-08	3.396E+00	3.077E-01	7.640E-01	9.960E-08	8.850E-08	5.000E-09	
3	53	5	1	0.000E+00	0.000E+00	8.900E-07	9.890E-07	7.337E+02	7.445E+02	1.080E+01	1.260E-08	3.231E+00	3.102E-01	7.590E-01	1.528E-07	1.425E-07	5.000E-09	
4	47	7	1	0.000E+00	0.000E+00	5.300E-07	6.080E-07	7.173E+02	7.452E+02	2.790E+01	7.600E-09	3.336E+00	3.123E-01	7.630E-01	9.190E-08	8.170E-08	2.800E-09	
5	47	9	1	0.000E+00	0.000E+00	7.640E-07	5.750E-07	7.188E+02	7.426E+02	2.380E+01	7.100E-09	3.312E+00	3.134E-01	7.630E-01	1.202E-07	8.230E-08	2.400E-09	
6	23	11	1	0.000E+00	0.000E+00	5.250E-07	5.710E-07	7.566E+02	7.623E+02	5.700E+00	7.000E-09	3.461E+00	3.077E-01	7.640E-01	9.140E-08	7.870E-08	2.700E-09	
7	29	11	1	0.000E+00	0.000E+00	7.070E-07	5.490E-07	7.589E+02	7.633E+02	4.400E+00	7.100E-09	3.376E+00	3.093E-01	7.640E-01	1.140E-07	7.240E-08	2.700E-09	
8	35	11	1	0.000E+00	1.000E-08	4.780E-07	5.910E-07	7.449E+02	7.519E+02	7.000E+00	7.000E-09	3.352E+00	3.110E-01	7.620E-01	8.420E-08	7.790E-08	2.600E-09	
9	41	11	1	0.000E+00	0.000E+00	7.300E-07	6.820E-07	7.326E+02	7.438E+02	1.120E+01	7.200E-09	3.320E+00	3.121E-01	7.630E-01	1.322E-07	8.010E-08	2.500E-09	
10	47	11	1	0.000E+00	0.000E+00	5.340E-07	5.490E-07	7.158E+02	7.400E+02	2.420E+01	7.200E-09	3.311E+00	3.127E-01	7.630E-01	9.540E-08	7.370E-08	2.500E-09	
