Program name	ME58Y81_G0GC2AD.jtf
Lot number	FA53-5465-305A-250303@203
Wafer number	16
Date	2025/03/03
Time	02:13:07

No.U	X	Y	Bin	CONT	IGSS0	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS2
LimitU				0.500V	99.00uA	4.000uA	4.000uA	900.0V	900.0V	50.00-	250.0nA	4.000V	365.0mOHM	1.000V	300.0nA	300.0nA	200.0nA	
LimitL				0V	0A	0A	0A	660.0V	660.0V	10.00-	0A	3.000V	100.0mOHM	0.000V	0A	0A	0A	
Bias 1				1.00mA	1.00V	30.0V	30.0V	250uA	1.00mA	@008-	653V	250uA	1.00A	1.00A	20.0V	20.0V	600V
Bias 2										@007-			10.0V
Bias 3								999V	999V
Bias 4				2.50ms	40.0ms	40.0ms	40.0ms	20.0ms	10.0ms		20.0ms	2.50ms	1.00ms	2.00ms	40.0ms	40.0ms	20.0ms	
Bias 5				
Bias 6				
1	41	5	1	0.000E+00	0.000E+00	3.940E-07	7.500E-07	7.328E+02	7.405E+02	7.700E+00	1.040E-08	3.444E+00	3.042E-01	7.660E-01	7.080E-08	9.820E-08	3.600E-09	
2	47	5	1	0.000E+00	0.000E+00	3.970E-07	4.600E-07	7.299E+02	7.388E+02	8.900E+00	9.100E-09	3.410E+00	3.067E-01	7.640E-01	6.890E-08	5.750E-08	6.900E-09	
3	53	5	1	0.000E+00	0.000E+00	3.940E-07	5.660E-07	7.387E+02	7.452E+02	6.500E+00	1.050E-08	3.284E+00	3.062E-01	7.600E-01	6.870E-08	7.670E-08	7.500E-09	
4	47	7	1	0.000E+00	0.000E+00	3.750E-07	5.120E-07	7.503E+02	7.558E+02	5.500E+00	7.200E-09	3.346E+00	3.106E-01	7.630E-01	6.590E-08	6.280E-08	2.700E-09	
5	47	9	1	0.000E+00	0.000E+00	3.890E-07	4.870E-07	7.528E+02	7.571E+02	4.300E+00	6.800E-09	3.326E+00	3.111E-01	7.620E-01	6.750E-08	5.750E-08	2.400E-09	
6	23	11	1	0.000E+00	0.000E+00	3.610E-07	4.180E-07	7.416E+02	7.458E+02	4.200E+00	6.800E-09	3.477E+00	3.131E-01	7.640E-01	6.320E-08	4.990E-08	2.300E-09	
7	29	11	1	0.000E+00	1.000E-08	6.020E-07	4.910E-07	7.581E+02	7.606E+02	2.500E+00	7.000E-09	3.366E+00	3.110E-01	7.630E-01	1.064E-07	5.680E-08	2.300E-09	
8	35	11	1	0.000E+00	0.000E+00	3.940E-07	5.200E-07	7.590E+02	7.611E+02	2.100E+00	7.100E-09	3.370E+00	3.088E-01	7.630E-01	6.600E-08	5.740E-08	2.500E-09	
9	41	11	1	0.000E+00	0.000E+00	4.570E-07	5.470E-07	7.571E+02	7.603E+02	3.200E+00	7.200E-09	3.325E+00	3.087E-01	7.630E-01	7.320E-08	6.460E-08	3.200E-09	
10	47	11	1	0.000E+00	0.000E+00	3.820E-07	7.100E-07	7.533E+02	7.569E+02	3.600E+00	6.900E-09	3.329E+00	3.092E-01	7.620E-01	6.820E-08	8.800E-08	2.500E-09	
