Program name	ME58Y81_G0GC2AD.jtf
Lot number	FA53-5465-305A-250303@203
Wafer number	1
Date	2025/03/03
Time	00:11:11

No.U	X	Y	Bin	CONT	IGSS0	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS2
LimitU				0.500V	99.00uA	4.000uA	4.000uA	900.0V	900.0V	50.00-	250.0nA	4.000V	365.0mOHM	1.000V	300.0nA	300.0nA	200.0nA	
LimitL				0V	0A	0A	0A	660.0V	660.0V	10.00-	0A	3.000V	100.0mOHM	0.000V	0A	0A	0A	
Bias 1				1.00mA	1.00V	30.0V	30.0V	250uA	1.00mA	@008-	653V	250uA	1.00A	1.00A	20.0V	20.0V	600V
Bias 2										@007-			10.0V
Bias 3								999V	999V
Bias 4				2.50ms	40.0ms	40.0ms	40.0ms	20.0ms	10.0ms		20.0ms	2.50ms	1.00ms	2.00ms	40.0ms	40.0ms	20.0ms	
Bias 5				
Bias 6				
1	41	5	1	0.000E+00	0.000E+00	5.510E-07	6.350E-07	7.173E+02	7.319E+02	1.460E+01	1.200E-08	3.433E+00	3.110E-01	7.660E-01	9.640E-08	8.550E-08	4.500E-09	
2	47	5	9	0.000E+00	0.000E+00	6.130E-07	6.050E-07	6.683E+02	7.077E+02	3.940E+01	999.9							
3	53	5	3	0.000E+00	99.99													
4	47	7	1	0.000E+00	1.000E-08	5.360E-07	5.990E-07	7.500E+02	7.611E+02	1.110E+01	6.900E-09	3.333E+00	3.140E-01	7.630E-01	9.190E-08	8.090E-08	2.600E-09	
5	47	9	1	0.000E+00	0.000E+00	6.460E-07	5.530E-07	7.564E+02	7.632E+02	6.800E+00	7.100E-09	3.299E+00	3.138E-01	7.620E-01	1.246E-07	7.620E-08	2.600E-09	
6	23	11	1	0.000E+00	0.000E+00	4.690E-07	6.540E-07	7.506E+02	7.563E+02	5.700E+00	6.700E-09	3.452E+00	3.127E-01	7.640E-01	8.200E-08	7.890E-08	2.400E-09	
7	29	11	1	0.000E+00	0.000E+00	4.570E-07	5.450E-07	7.700E+02	7.733E+02	3.300E+00	6.700E-09	3.353E+00	3.110E-01	7.640E-01	8.090E-08	7.010E-08	2.600E-09	
8	35	11	1	0.000E+00	1.000E-08	5.320E-07	7.230E-07	7.648E+02	7.685E+02	3.700E+00	6.800E-09	3.350E+00	3.112E-01	7.630E-01	9.790E-08	1.087E-07	2.600E-09	
9	41	11	1	0.000E+00	0.000E+00	4.810E-07	5.460E-07	7.561E+02	7.623E+02	6.200E+00	7.000E-09	3.315E+00	3.132E-01	7.630E-01	8.510E-08	7.440E-08	2.400E-09	
10	47	11	1	0.000E+00	0.000E+00	4.900E-07	5.430E-07	7.530E+02	7.582E+02	5.200E+00	6.900E-09	3.301E+00	3.139E-01	7.630E-01	8.650E-08	7.300E-08	2.300E-09	
11	53	11	1	0.000E+00	0.000E+00	5.090E-07	6.360E-07	7.570E+02	7.623E+02	5.300E+00	6.900E-09	3.297E+00	3.141E-01	7.620E-01	8.800E-08	9.370E-08	2.300E-09	
