Program name	ME58Y81_G0GC2AD.jtf
Lot number	FA53-5465-305A-250303@203
Wafer number	18
Date	2025/03/03
Time	02:29:46

No.U	X	Y	Bin	CONT	IGSS0	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS2
LimitU				0.500V	99.00uA	4.000uA	4.000uA	900.0V	900.0V	50.00-	250.0nA	4.000V	365.0mOHM	1.000V	300.0nA	300.0nA	200.0nA	
LimitL				0V	0A	0A	0A	660.0V	660.0V	10.00-	0A	3.000V	100.0mOHM	0.000V	0A	0A	0A	
Bias 1				1.00mA	1.00V	30.0V	30.0V	250uA	1.00mA	@008-	653V	250uA	1.00A	1.00A	20.0V	20.0V	600V
Bias 2										@007-			10.0V
Bias 3								999V	999V
Bias 4				2.50ms	40.0ms	40.0ms	40.0ms	20.0ms	10.0ms		20.0ms	2.50ms	1.00ms	2.00ms	40.0ms	40.0ms	20.0ms	
Bias 5				
Bias 6				
1	41	5	1	0.000E+00	0.000E+00	6.700E-07	4.500E-07	7.433E+02	7.470E+02	3.700E+00	8.500E-09	3.454E+00	3.005E-01	7.640E-01	1.005E-07	5.800E-08	3.500E-09	
2	47	5	1	0.000E+00	0.000E+00	4.270E-07	4.730E-07	7.413E+02	7.478E+02	6.500E+00	8.100E-09	3.404E+00	3.031E-01	7.640E-01	6.960E-08	6.340E-08	3.200E-09	
3	53	5	3	0.000E+00	99.99													
4	47	7	1	0.000E+00	0.000E+00	4.350E-07	4.700E-07	7.570E+02	7.611E+02	4.100E+00	7.200E-09	3.350E+00	3.081E-01	7.620E-01	7.110E-08	5.760E-08	2.600E-09	
5	47	9	1	0.000E+00	0.000E+00	5.530E-07	4.420E-07	7.538E+02	7.571E+02	3.300E+00	7.400E-09	3.315E+00	3.085E-01	7.620E-01	9.330E-08	5.460E-08	2.500E-09	
6	23	11	1	0.000E+00	0.000E+00	4.060E-07	4.510E-07	7.580E+02	7.607E+02	2.700E+00	6.700E-09	3.486E+00	3.063E-01	7.640E-01	7.150E-08	6.350E-08	2.500E-09	
7	29	11	1	0.000E+00	0.000E+00	4.050E-07	4.180E-07	7.596E+02	7.611E+02	1.500E+00	6.800E-09	3.407E+00	3.062E-01	7.640E-01	6.820E-08	5.200E-08	2.600E-09	
8	35	11	1	0.000E+00	0.000E+00	5.490E-07	4.410E-07	7.572E+02	7.588E+02	1.600E+00	7.000E-09	3.373E+00	3.068E-01	7.620E-01	9.020E-08	5.350E-08	2.200E-09	
9	41	11	1	0.000E+00	1.000E-08	5.860E-07	5.460E-07	7.531E+02	7.562E+02	3.100E+00	6.900E-09	3.343E+00	3.068E-01	7.630E-01	9.130E-08	6.020E-08	2.500E-09	
10	47	11	1	0.000E+00	0.000E+00	5.190E-07	4.600E-07	7.493E+02	7.525E+02	3.200E+00	7.000E-09	3.326E+00	3.077E-01	7.620E-01	8.660E-08	5.890E-08	2.200E-09	
11	53	11	1	0.000E+00	0.000E+00	3.910E-07	4.590E-07	7.531E+02	7.557E+02	2.600E+00	7.400E-09	3.307E+00	3.071E-01	7.620E-01	6.950E-08	5.640E-08	2.400E-09	
